,Year,County,NIB_ASSAULT,NIB_VIOLNCO,NIB_KIDNAP,NIB_PROPTOT,NIB_MURDER,NIB_MNSLGHTR,JRN_ASSAULT,JRN_VIOLNCO,JRN_KIDNAP,JRN_MURDER,JRN_MNSLGHTR,Total Population,Total Crime,Crime %
617,2012,MASON,440,129,11,3574,6,0,0,0,0,0,0,61450,4160,6.77
618,2013,MASON,367,97,12,2993,3,0,20,0,1,0,0,61800,3493,5.65
619,2014,MASON,420,109,13,2871,2,3,15,0,0,0,1,62000,3434,5.54
620,2015,MASON,449,105,10,2562,3,1,17,0,0,0,0,62200,3147,5.06
621,2016,MASON,358,109,16,2248,5,1,15,0,0,0,0,62320,2752,4.42
644,2012,OKANOGAN,438,13,0,1150,0,0,0,0,0,0,0,41425,1601,3.86
645,2013,OKANOGAN,345,15,1,1291,5,0,6,0,0,0,0,41500,1663,4.01
646,2014,OKANOGAN,292,15,2,1230,1,0,6,0,0,0,0,41700,1546,3.71
647,2015,OKANOGAN,284,10,0,1053,1,0,8,0,0,0,0,41860,1356,3.24
648,2016,OKANOGAN,308,8,2,831,0,0,6,0,0,0,0,41730,1155,2.77
671,2012,PACIFIC,156,18,0,557,0,0,0,0,0,0,0,20970,731,3.49
672,2013,PACIFIC,217,20,0,550,0,0,6,0,0,0,0,21000,793,3.78
673,2014,PACIFIC,210,18,1,471,0,0,2,0,0,0,0,21100,702,3.33
674,2015,PACIFIC,187,10,0,376,0,0,9,0,0,0,0,21210,582,2.74
675,2016,PACIFIC,175,9,1,335,1,0,3,0,2,0,0,21180,526,2.48
698,2012,PEND OREILLE,224,65,1,626,3,0,0,0,0,0,0,13100,919,7.02
699,2013,PEND OREILLE,218,71,0,660,1,1,0,0,0,0,0,13150,951,7.23
700,2014,PEND OREILLE,203,51,1,509,0,0,0,0,0,0,0,13210,764,5.78
701,2015,PEND OREILLE,188,31,0,412,0,0,0,0,0,0,0,13240,631,4.77
702,2016,PEND OREILLE,174,29,1,336,0,0,8,0,0,0,0,13290,548,4.12
725,2012,PIERCE,9853,2368,194,53278,35,2,0,0,0,0,0,808200,65730,8.13
726,2013,PIERCE,10022,2207,180,53478,24,1,645,1,10,1,0,814500,66569,8.17
727,2014,PIERCE,9877,2245,170,51110,30,2,577,1,3,2,1,821300,64018,7.79
728,2015,PIERCE,10075,2272,153,50923,34,1,572,1,1,3,1,830120,64036,7.71
729,2016,PIERCE,10205,2411,161,54129,29,0,457,2,3,0,0,844490,67397,7.98
752,2012,SAN JUAN,51,20,0,294,0,0,0,0,0,0,0,15925,365,2.29
753,2013,SAN JUAN,65,14,1,266,0,0,4,0,0,0,0,16000,350,2.19
754,2014,SAN JUAN,49,6,1,205,0,0,0,0,0,0,0,16100,261,1.62
755,2015,SAN JUAN,62,7,0,274,0,0,2,0,0,0,0,16180,345,2.13
756,2016,SAN JUAN,66,18,0,221,1,0,3,0,0,0,0,16320,309,1.89
779,2012,SKAGIT,1582,443,9,7392,2,0,0,0,0,0,0,117950,9428,7.99
780,2013,SKAGIT,1464,400,16,7453,5,2,92,1,0,0,0,118600,9433,7.95
781,2014,SKAGIT,1334,362,17,6501,3,0,85,3,0,0,0,119500,8305,6.95
782,2015,SKAGIT,1364,384,20,7448,3,0,81,1,0,0,0,120620,9301,7.71
784,2016,SKAGIT,1325,421,16,6742,6,0,63,2,0,3,0,122270,8578,7.02
805,2012,SKAMANIA,111,10,1,176,0,0,0,0,0,0,0,11275,298,2.64
806,2013,SKAMANIA,103,18,2,148,0,0,7,0,0,0,0,11300,278,2.46
807,2014,SKAMANIA,86,15,1,149,0,1,4,0,0,0,0,11370,256,2.25
808,2015,SKAMANIA,57,12,1,163,0,0,3,0,0,0,0,11430,236,2.06
809,2016,SKAMANIA,62,13,1,92,0,0,3,0,0,0,0,11500,171,1.49
833,2012,SNOHOMISH,572,58,5,2753,3,1,0,0,0,0,0,722900,3392,0.47
834,2013,SNOHOMISH,807,96,11,4001,3,1,74,0,1,0,0,730500,4994,0.68
835,2014,SNOHOMISH,805,125,6,4630,1,0,89,1,0,0,0,741000,5657,0.76
836,2015,SNOHOMISH,1668,327,22,9153,5,1,156,1,0,2,0,757600,11335,1.5
837,2016,SNOHOMISH,6180,1395,84,33434,14,1,446,11,1,0,0,772860,41566,5.38
859,2012,SPOKANE,339,40,0,1169,0,0,0,0,0,0,0,475600,1548,0.33
860,2013,SPOKANE,342,40,1,1116,1,0,10,0,0,0,0,480000,1510,0.31
861,2014,SPOKANE,369,45,3,1108,0,0,19,2,0,0,0,484500,1546,0.32
862,2015,SPOKANE,355,44,2,1167,0,0,10,0,1,0,0,488310,1579,0.32
863,2016,SPOKANE,3806,495,292,13811,7,0,78,0,0,0,0,492530,18489,3.75
886,2012,STATE,50446,9237,645,240756,140,9,0,0,0,0,0,6817770,301233,4.42
887,2013,STATE,52331,10492,674,257356,127,13,2994,39,24,7,0,6882400,324057,4.71
888,2014,STATE,56137,11639,838,278057,135,12,2981,53,15,10,3,6968170,349880,5.02
889,2015,STATE,59124,13003,855,285775,164,6,3015,65,21,11,1,7061410,362040,5.13
890,2016,STATE,66864,14442,1218,329534,177,8,3031,54,24,15,1,7183700,415368,5.78
913,2012,STEVENS,443,126,8,1225,0,0,0,0,0,0,0,43700,1802,4.12
914,2013,STEVENS,428,128,4,1043,2,0,10,0,0,0,0,43800,1615,3.69
915,2014,STEVENS,408,149,8,1178,1,0,7,0,0,0,0,43900,1751,3.99
916,2015,STEVENS,438,152,3,1105,4,0,5,0,0,0,0,44030,1707,3.88
917,2016,STEVENS,358,106,5,1002,1,0,4,0,0,0,0,44100,1476,3.35
940,2012,THURSTON,759,223,27,4716,1,0,0,0,0,0,0,256800,5726,2.23
941,2013,THURSTON,860,234,21,4049,5,0,86,0,0,0,0,260100,5255,2.02
942,2014,THURSTON,2140,587,82,10978,3,1,159,1,2,3,0,264000,13956,5.29
