,Year,County,Total Population,Total Crime,Classification,Orig_DF
54,2014,franklin,86600,4865,Metropolitan,Overall
55,2015,franklin,87150,4990,Metropolitan,Overall
56,2016,franklin,88670,5314,Metropolitan,Overall
57,2014,garfield,2240,130,Noncore,Overall
58,2015,garfield,2260,211,Noncore,Overall
59,2016,garfield,2200,169,Noncore,Overall
60,2012,grant,91000,7418,Micropolitan,Overall
61,2013,grant,91800,7866,Micropolitan,Overall
62,2014,grant,92900,7587,Micropolitan,Overall
63,2015,grant,93930,7620,Micropolitan,Overall
64,2016,grant,94610,7455,Micropolitan,Overall
65,2012,grays harbor,73150,3589,Micropolitan,Overall
66,2013,grays harbor,73200,4982,Micropolitan,Overall
67,2014,grays harbor,73300,4704,Micropolitan,Overall
68,2015,grays harbor,73110,5137,Micropolitan,Overall
69,2016,grays harbor,72820,4580,Micropolitan,Overall
70,2012,island,79350,3246,Micropolitan,Overall
71,2013,island,79700,2936,Micropolitan,Overall
72,2014,island,80000,2536,Micropolitan,Overall
73,2015,island,80600,1989,Micropolitan,Overall
74,2016,island,82910,2118,Micropolitan,Overall
75,2012,jefferson,30175,1594,Noncore,Overall
76,2013,jefferson,30275,1521,Noncore,Overall
77,2014,jefferson,30700,1666,Noncore,Overall
78,2015,jefferson,30880,1324,Noncore,Overall
79,2016,jefferson,31090,1241,Noncore,Overall
80,2012,king,1957000,93104,Metropolitan,Overall
81,2013,king,1981900,111437,Metropolitan,Overall
82,2014,king,2017250,134663,Metropolitan,Overall
83,2015,king,2052800,138896,Metropolitan,Overall
84,2016,king,2105100,143881,Metropolitan,Overall
85,2012,kitsap,254500,15913,Metropolitan,Overall
86,2013,kitsap,254000,15444,Metropolitan,Overall
87,2014,kitsap,255900,15098,Metropolitan,Overall
88,2015,kitsap,258200,14711,Metropolitan,Overall
89,2016,kitsap,262590,14766,Metropolitan,Overall
90,2012,kittitas,41500,3082,Micropolitan,Overall
91,2013,kittitas,41900,2950,Micropolitan,Overall
92,2014,kittitas,42100,2683,Micropolitan,Overall
93,2015,kittitas,42670,2485,Micropolitan,Overall
94,2016,kittitas,43710,2341,Micropolitan,Overall
95,2012,klickitat,20600,720,Noncore,Overall
96,2013,klickitat,20700,757,Noncore,Overall
97,2014,klickitat,20850,682,Noncore,Overall
98,2015,klickitat,21000,820,Noncore,Overall
99,2016,klickitat,21270,618,Noncore,Overall
100,2012,lewis,76300,4881,Micropolitan,Overall
101,2013,lewis,76200,4357,Micropolitan,Overall
102,2014,lewis,76300,4580,Micropolitan,Overall
103,2015,lewis,76660,4543,Micropolitan,Overall
104,2016,lewis,76890,4837,Micropolitan,Overall
105,2012,lincoln,10675,442,Noncore,Overall
106,2013,lincoln,10675,381,Noncore,Overall
107,2014,lincoln,10700,384,Noncore,Overall
108,2015,lincoln,10720,395,Noncore,Overall
109,2016,lincoln,10640,381,Noncore,Overall
110,2012,mason,61450,4692,Micropolitan,Overall
111,2013,mason,61800,4009,Micropolitan,Overall
112,2014,mason,62000,3936,Micropolitan,Overall
113,2015,mason,62200,3662,Micropolitan,Overall
114,2016,mason,62320,3239,Micropolitan,Overall
115,2012,okanogan,41425,1782,Noncore,Overall
116,2013,okanogan,41500,1904,Noncore,Overall
117,2014,okanogan,41700,1760,Noncore,Overall
118,2015,okanogan,41860,1540,Noncore,Overall
119,2016,okanogan,41730,1347,Noncore,Overall
120,2012,pacific,20970,814,Noncore,Overall
121,2013,pacific,21000,959,Noncore,Overall
122,2014,pacific,21100,852,Noncore,Overall
123,2015,pacific,21210,677,Noncore,Overall
124,2016,pacific,21180,636,Noncore,Overall
125,2012,pend oreille,13100,1017,Metropolitan,Overall
126,2013,pend oreille,13150,1073,Metropolitan,Overall
127,2014,pend oreille,13210,885,Metropolitan,Overall
128,2015,pend oreille,13240,732,Metropolitan,Overall
129,2016,pend oreille,13290,687,Metropolitan,Overall
130,2012,pierce,808200,70493,Metropolitan,Overall
131,2013,pierce,814500,72955,Metropolitan,Overall
132,2014,pierce,821300,70360,Metropolitan,Overall
133,2015,pierce,830120,70280,Metropolitan,Overall
134,2016,pierce,844490,73497,Metropolitan,Overall
135,2012,san juan,15925,390,Noncore,Overall
136,2013,san juan,16000,375,Noncore,Overall
137,2014,san juan,16100,280,Noncore,Overall
138,2015,san juan,16180,368,Noncore,Overall
139,2016,san juan,16320,342,Noncore,Overall
140,2012,skagit,117950,10859,Metropolitan,Overall
141,2013,skagit,118600,11037,Metropolitan,Overall
142,2014,skagit,119500,9871,Metropolitan,Overall
143,2015,skagit,120620,11140,Metropolitan,Overall
144,2016,skagit,122270,10679,Metropolitan,Overall
145,2012,skamania,11275,367,Metropolitan,Overall
146,2013,skamania,11300,319,Metropolitan,Overall
147,2014,skamania,11370,292,Metropolitan,Overall
148,2015,skamania,11430,266,Metropolitan,Overall
149,2016,skamania,11500,193,Metropolitan,Overall
150,2012,snohomish,722900,3942,Metropolitan,Overall
151,2013,snohomish,730500,5784,Metropolitan,Overall
152,2014,snohomish,741000,6504,Metropolitan,Overall
153,2015,snohomish,757600,12901,Metropolitan,Overall
154,2016,snohomish,772860,48369,Metropolitan,Overall
155,2012,spokane,475600,1663,Metropolitan,Overall
156,2013,spokane,480000,1651,Metropolitan,Overall
157,2014,spokane,484500,1696,Metropolitan,Overall
158,2015,spokane,488310,1782,Metropolitan,Overall
159,2016,spokane,492530,19629,Metropolitan,Overall
160,2012,state,6817770,330669,,Overall
161,2013,state,6882400,360444,,Overall
162,2014,state,6968170,387449,,Overall
163,2015,state,7061410,401051,,Overall
164,2016,state,7183700,460825,,Overall
165,2012,stevens,43700,1962,Metropolitan,Overall
166,2013,stevens,43800,1758,Metropolitan,Overall
167,2014,stevens,43900,1882,Metropolitan,Overall
168,2015,stevens,44030,1849,Metropolitan,Overall
169,2016,stevens,44100,1588,Metropolitan,Overall
170,2012,thurston,256800,6205,Metropolitan,Overall
171,2013,thurston,260100,5763,Metropolitan,Overall
172,2014,thurston,264000,15474,Metropolitan,Overall
173,2015,thurston,267410,16410,Metropolitan,Overall
174,2016,thurston,272690,16746,Metropolitan,Overall
175,2012,wahkiakum,4025,61,Noncore,Overall
176,2013,wahkiakum,4020,78,Noncore,Overall
177,2014,wahkiakum,4010,113,Noncore,Overall
178,2015,wahkiakum,3980,157,Noncore,Overall
179,2016,wahkiakum,4000,139,Noncore,Overall
180,2012,walla walla,59100,1354,Metropolitan,Overall
181,2013,walla walla,59500,4371,Metropolitan,Overall
182,2014,walla walla,60150,4468,Metropolitan,Overall
183,2015,walla walla,60650,4400,Metropolitan,Overall
184,2016,walla walla,60730,4487,Metropolitan,Overall
185,2012,whatcom,203500,11155,Metropolitan,Overall
186,2013,whatcom,205800,11420,Metropolitan,Overall
187,2014,whatcom,207600,15161,Metropolitan,Overall
188,2015,whatcom,209790,13864,Metropolitan,Overall
189,2016,whatcom,212540,14663,Metropolitan,Overall
190,2012,whitman,45950,2449,Micropolitan,Overall
191,2013,whitman,46000,1955,Micropolitan,Overall
192,2014,whitman,46500,2229,Micropolitan,Overall
193,2015,whitman,47250,1831,Micropolitan,Overall
194,2016,whitman,47940,1438,Micropolitan,Overall
195,2012,yakima,246000,17393,Metropolitan,Overall
196,2013,yakima,247250,19547,Metropolitan,Overall
197,2014,yakima,248800,18573,Metropolitan,Overall
198,2015,yakima,249970,20169,Metropolitan,Overall
199,2016,yakima,250900,20602,Metropolitan,Overall
