,Year,County,NIB_PROPTOT,NIB_ARSON,NIB_BRIBERY,NIB_BURGLARY,JRN_ARSON,JRN_BURGLARY,Total Population,Total Crime,Crime %
674,2015,PACIFIC,376,1,0,124,1,0,21210,502,2.37
675,2016,PACIFIC,335,0,0,89,0,0,21180,424,2
698,2012,PEND OREILLE,626,0,0,142,0,0,13100,768,5.86
699,2013,PEND OREILLE,660,2,0,142,0,0,13150,804,6.11
700,2014,PEND OREILLE,509,2,0,135,0,0,13210,646,4.89
701,2015,PEND OREILLE,412,1,0,108,0,0,13240,521,3.94
702,2016,PEND OREILLE,336,2,0,72,0,1,13290,411,3.09
725,2012,PIERCE,53278,164,1,8721,0,0,808200,62164,7.69
726,2013,PIERCE,53478,202,0,7974,11,112,814500,61777,7.58
727,2014,PIERCE,51110,162,0,8382,8,119,821300,59781,7.28
728,2015,PIERCE,50923,164,2,7276,9,99,830120,58473,7.04
729,2016,PIERCE,54129,174,2,6903,4,78,844490,61290,7.26
752,2012,SAN JUAN,294,0,0,70,0,0,15925,364,2.29
753,2013,SAN JUAN,266,2,0,69,0,0,16000,337,2.11
754,2014,SAN JUAN,205,1,0,39,0,0,16100,245,1.52
755,2015,SAN JUAN,274,1,0,53,0,1,16180,329,2.03
756,2016,SAN JUAN,221,3,0,36,0,0,16320,260,1.59
779,2012,SKAGIT,7392,29,0,1257,0,0,117950,8678,7.36
780,2013,SKAGIT,7453,27,2,1143,4,21,118600,8650,7.29
781,2014,SKAGIT,6501,20,0,982,2,15,119500,7520,6.29
782,2015,SKAGIT,7448,16,0,964,7,19,120620,8454,7.01
784,2016,SKAGIT,6742,8,0,858,1,10,122270,7619,6.23
805,2012,SKAMANIA,176,0,0,37,0,0,11275,213,1.89
806,2013,SKAMANIA,148,0,0,27,0,0,11300,175,1.55
807,2014,SKAMANIA,149,1,0,26,0,1,11370,177,1.56
808,2015,SKAMANIA,163,1,0,34,0,0,11430,198,1.73
809,2016,SKAMANIA,92,0,0,21,0,1,11500,114,0.99
833,2012,SNOHOMISH,2753,21,1,441,0,0,722900,3216,0.44
834,2013,SNOHOMISH,4001,14,0,552,1,7,730500,4575,0.63
835,2014,SNOHOMISH,4630,15,0,511,1,2,741000,5159,0.7
836,2015,SNOHOMISH,9153,24,0,1102,2,9,757600,10290,1.36
837,2016,SNOHOMISH,33434,97,1,4208,1,48,772860,37789,4.89
859,2012,SPOKANE,1169,2,0,182,0,0,475600,1353,0.28
860,2013,SPOKANE,1116,1,0,171,0,0,480000,1288,0.27
861,2014,SPOKANE,1108,1,0,144,0,0,484500,1253,0.26
862,2015,SPOKANE,1167,1,1,165,0,0,488310,1334,0.27
863,2016,SPOKANE,13811,13,0,1650,0,18,492530,15492,3.15
886,2012,STATE,240756,776,6,37859,0,0,6817770,279397,4.1
887,2013,STATE,257356,758,8,38490,46,690,6882400,297348,4.32
888,2014,STATE,278057,839,4,39755,47,629,6968170,319331,4.58
889,2015,STATE,285775,924,10,39686,48,604,7061410,327047,4.63
890,2016,STATE,329534,954,8,42553,28,463,7183700,373540,5.2
913,2012,STEVENS,1225,1,0,304,0,0,43700,1530,3.5
914,2013,STEVENS,1043,2,0,277,0,1,43800,1323,3.02
915,2014,STEVENS,1178,1,0,297,0,2,43900,1478,3.37
916,2015,STEVENS,1105,0,0,311,0,0,44030,1416,3.22
917,2016,STEVENS,1002,2,0,295,0,1,44100,1300,2.95
940,2012,THURSTON,4716,22,0,1227,0,0,256800,5965,2.32
941,2013,THURSTON,4049,12,0,1145,1,14,260100,5221,2.01
942,2014,THURSTON,10978,31,0,1878,1,33,264000,12921,4.89
943,2015,THURSTON,11879,38,0,1765,4,28,267410,13714,5.13
944,2016,THURSTON,12170,20,0,1604,0,6,272690,13800,5.06
967,2012,WAHKIAKUM,24,0,0,7,0,0,4025,31,0.77
968,2013,WAHKIAKUM,35,0,0,9,0,0,4020,44,1.09
969,2014,WAHKIAKUM,53,0,0,15,0,0,4010,68,1.7
970,2015,WAHKIAKUM,81,0,0,23,0,3,3980,107,2.69
971,2016,WAHKIAKUM,68,0,0,14,0,0,4000,82,2.05
