,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,SCF_ASSAULT,SCF_DRUG_CR,SCF_HOMICIDE,SCF_MVT,SCF_OTHFELON,SCF_PROPCR,SCF_ROBBERY,SCF_SEXCR,SCF_TOTAL,JDP_OTHRADP,JDP_POST_ADP,JDP_PRE_ADP,JDP_CAPACITY,JDP_TOTALADP,JST_ASSAULT,JST_BURGLARY,JST_DRUG_CR,JST_MNSLGHTR,JST_MURDER,JST_OTHCRIME,JST_OTHPROPCR,JST_ROBBERY,JST_SEXCR,JST_TOTAL,JST_UNKNOWN,AJS_ASSAULT,AJS_AVG_SENT,AJS_BURGLARY,AJS_DRUG_CR,AJS_MNSLGHTR,AJS_MURDER,AJS_OTHCRIME,AJS_OTHPROPCR,AJS_ROBBERY,AJS_SEXCR,AJS_UNKNOWN,PDP_NEW_ADM,PDP_OTHER,PDP_PAROLE_V,PDP_READM,PDP_TOTAL,PST_ASSAULT,PST_BURGLARY,PST_DRUG_CR,PST_MNSLGHTR,PST_MURDER,PST_OTHCRIME,PST_OTHPROPCR,PST_ROBBERY,PST_SEXCR,PST_TOTAL,PST_UNKNOWN,APS_ASSAULT,APS_AVG_SENT,APS_BURGLARY,APS_DRUG_CR,APS_MNSLGHTR,APS_MURDER,APS_OTHCRIME,APS_OTHPROPCR,APS_ROBBERY,APS_SEXCR,APS_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,JUV_ASSAULT,JUV_BURGLARY,JUV_DRUG_CR,JUV_G_MSDMNR,JUV_MNSLGHTR,JUV_MSDMNR,JUV_MURDER,JUV_OTHFELCRIME,JUV_OTHPROPCR,JUV_ROBBERY,JUV_SEXCR,JUV_TOTAL,MIN_ASSAULT,MIN_AVG_MIN_DISP,MIN_BURGLARY,MIN_DRUG_CR,MIN_G_MSDMNR,MIN_MNSLGHTR,MIN_MSDMNR,MIN_MURDER,MIN_OTHFELCRIME,MIN_OTHPROPCR,MIN_ROBBERY,MIN_SEXCR,MAX_ASSAULT,MAX_AVG_MAX_DISP,MAX_BURGLARY,MAX_DRUG_CR,MAX_G_MSDMNR,MAX_MNSLGHTR,MAX_MSDMNR,MAX_MURDER,MAX_OTHFELCRIME,MAX_OTHPROPCR,MAX_ROBBERY,MAX_SEXCR,Total Population
162,2016,CLARK,35270,18969,63217,115729,233184,37271,20035,62568,107952,227826,0,0,0,0,0,0,0,0,0,82,3594,0,1739,2753,1006,0,327,330,0,0,102,1,7,6,0,14697,6,4648,196,1172,9600,20517,608,160,0,0,0,0,0,0,0,0,0,0,0,5,1144,0,204,171,506,0,39,19,0,5264,0,23,1,4,3,0,0,57,897,8632,242,53,404,808,19,74.0,338,699,94,171,2607,-99.0,-99.0,-99.0,506,731.0,168,52,448,0,0,206,339,17,13,1243,0,4.1,2.8,3.4,2.4,0.0,0.0,2.7,2.6,5.3,4.7,0.0,362,7,2214,303,672,107,31,177,9,7,80,216,28,78,733,0,41.7,37.8,26.7,23.8,97.8,344.2,25.1,24.4,52.7,79.5,0.0,0,0,0,0,0,0,0,0,0,0,0,3,194,29,35,41,0,1,3,237,5,0,1,0,0,0,25,108,692,0,10,0,42,10,11,52,37,16,12,266,0,152,0,17,97,25,24,646,154.05882350000002,59.6,64.6,73.66666667,43.52380952,0,34.96666667,0.0,25.4,81.69565217,161.0,68.36363636,172.1764706,70.3,64.77777778,81.44444444,53.66666667,0.0,38.0,0.0,25.4,94.95454545,209.41666669999998,88.09090909,461010
185,2012,COLUMBIA,251,148,374,1281,2056,248,143,385,1268,2044,0,0,0,0,0,0,0,0,0,0,33,0,47,54,1,0,0,4,0,0,1,0,1,0,0,221,0,39,0,2,120,262,0,1,2,0,4,0,1,1,8,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0.0,2,19,0,3,34,-99.0,-99.0,-99.0,8,9.0,4,0,3,0,0,1,2,0,0,10,0,5.3,3.3,0.0,2.3,0.0,0.0,1.0,2.2,0.0,0.0,0.0,1,0,2,5,6,0,1,0,0,0,0,1,0,1,4,1,0.0,41.0,51.0,0.0,0.0,0.0,0.0,22.0,0.0,79.0,12.0,1,0,2,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0,3,0,0,10,0.0,6.8,0.0,7.0,11.66666667,0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,6.8,0.0,7.0,11.66666667,0.0,7.0,0.0,0.0,4.0,0.0,0.0,4100
186,2013,COLUMBIA,246,139,376,1287,2049,249,138,386,1280,2051,0,0,0,0,0,0,0,0,0,1,39,0,51,31,0,0,0,2,0,0,0,0,0,0,0,249,0,46,0,0,166,295,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,16,1,0,5,4,0,1.0,5,7,0,9,31,-99.0,-99.0,-99.0,8,8.0,3,0,0,0,0,1,0,0,1,5,0,3.0,4.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,7,2,3,4,13,0,5,1,0,1,1,6,0,0,14,0,0.0,41.4,31.1,12.0,0.0,240.0,22.0,25.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,2,0,1,0,8,0,6,0,0,1,0,1,17,0.0,22.4,189.0,0.0,4.5,0,6.2,0.0,0.0,13.0,0.0,105.0,0.0,34.7,252.0,0.0,4.5,0.0,6.2,0.0,0.0,13.0,0.0,252.0,4100
187,2014,COLUMBIA,245,136,381,1280,2043,240,144,392,1261,2037,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,89,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0.0,5,13,0,3,43,-99.0,-99.0,-99.0,8,10.0,2,0,1,0,0,3,3,0,1,10,0,1.3,4.3,0.0,9.0,0.0,0.0,2.3,6.0,0.0,6.5,0.0,3,0,1,4,7,0,1,2,0,0,2,3,0,0,8,0,0.0,20.1,22.0,13.0,0.0,0.0,30.5,17.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,11,0,7,0,0,2,0,1,23,67.5,40.0,0.0,0.0,22.57142857,0,19.42857143,0.0,0.0,18.0,0.0,364.0,141.0,66.2,0.0,0.0,50.66666667,0.0,40.42857143,0.0,0.0,18.0,0.0,364.0,4080
188,2015,COLUMBIA,255,128,372,1296,2052,237,143,383,1276,2038,0,0,0,0,0,0,0,0,0,1,2,0,28,0,1,0,0,0,0,0,0,0,0,0,0,80,0,2,0,1,51,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0.0,7,13,0,2,39,-99.0,-99.0,-99.0,8,6.0,2,3,4,0,0,1,1,0,0,11,0,4.8,3.8,3.7,3.3,0.0,0.0,2.0,6.0,0.0,0.0,0.0,7,1,5,2,10,0,3,3,0,0,0,2,0,1,9,0,0.0,24.3,22.7,28.3,0.0,0.0,0.0,12.5,0.0,41.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,4,17.0,20.8,0.0,0.0,30.0,0,18.0,0.0,0.0,0.0,0.0,0.0,17.0,20.8,0.0,0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4090
189,2016,COLUMBIA,252,125,356,1294,2027,232,143,370,1278,2023,0,0,0,0,0,0,0,0,0,1,16,0,20,46,3,0,0,5,0,0,0,0,0,0,0,183,0,25,0,3,116,211,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,10,12,0,0.0,3,8,0,0,33,-99.0,-99.0,-99.0,8,7.0,1,1,5,0,0,1,2,0,0,10,0,2.0,3.2,7.0,3.3,0.0,0.0,2.0,2.4,0.0,0.0,0.0,2,2,21,6,10,4,0,3,0,0,1,0,0,1,9,0,32.0,21.5,0.0,16.7,0.0,0.0,15.0,0.0,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,3,0,0,4,0,0,15,0.0,28.6,0.0,0.0,40.5,0,1.5,0.0,0.0,25.0,0.0,0.0,0.0,34.2,0.0,0.0,51.0,0.0,1.5,0.0,0.0,25.0,0.0,0.0,4050
212,2012,COWLITZ,7850,4017,13314,27009,52192,7914,4257,13197,25491,50858,0,0,0,0,0,0,0,0,0,51,1512,0,853,1152,739,3,106,114,0,0,13,0,4,4,8,5611,4,1905,66,851,3380,8367,258,100,105,5,98,333,1,26,1852,21,40,631,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,471,5,22.0,98,300,45,81,1184,-99.0,-99.0,-99.0,356,278.0,89,27,218,0,0,92,178,4,7,616,1,3.4,2.1,3.4,1.5,0.0,0.0,2.0,1.8,7.8,7.3,7.0,148,8,966,188,344,76,19,151,0,4,37,76,13,25,403,2,46.1,40.9,42.7,25.0,0.0,489.4,25.0,27.6,89.0,87.9,26.0,5,2,23,53,1,1,345,7,3,109,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,18,10,4,5,169,0,62,0,1,18,4,11,284,74.125,33.1,100.5,62.8,25.03225806,0,10.84210526,0.0,24.0,83.90909091,234.5,52.4,95.125,40.0,121.5,81.0,28.19354839,0.0,10.84210526,0.0,24.0,106.18181820000001,353.5,67.1,103050
213,2013,COWLITZ,7783,4021,13381,27158,52342,7861,4196,13295,25606,50958,0,0,0,0,0,0,0,0,0,21,1507,1,898,1355,711,5,105,119,0,0,15,0,1,3,10,6059,5,1927,61,890,3613,8876,282,164,0,0,0,0,0,0,0,0,0,0,0,4,845,0,175,135,458,3,30,40,0,1386,0,20,0,2,0,2,3,43,1004,4379,177,52,164,584,3,32.0,117,353,40,76,1369,-99.0,-99.0,-99.0,356,277.0,88,28,295,0,0,86,177,2,18,697,3,2.9,1.9,3.3,1.0,0.0,0.0,2.1,2.1,4.5,7.2,8.0,176,3,1453,180,359,90,24,145,1,3,31,81,12,22,418,9,43.1,37.9,52.7,32.7,48.0,193.3,33.7,25.2,53.3,57.7,34.7,0,0,0,0,0,0,0,0,0,0,0,0,173,15,54,59,1,0,11,98,0,0,1,1,0,0,4,113,538,2,6,0,16,5,7,21,7,3,9,206,0,84,0,12,24,2,16,363,91.0,38.0,132.3333333,61.28571429,44.48,0,10.70588235,0.0,31.0,31.46153846,105.0,50.25,135.0,38.9,162.66666669999998,84.28571429,37.875,0.0,10.70588235,0.0,36.0,49.71428571,252.0,68.625,103300
214,2014,COWLITZ,7711,4041,13382,27426,52561,7807,4170,13268,25894,51139,0,0,0,0,0,0,0,0,0,22,1334,0,811,1004,751,3,63,93,0,0,11,0,0,0,5,5350,4,1702,34,862,3413,7914,264,102,0,0,0,0,0,0,0,0,0,0,0,2,775,0,129,122,515,1,16,23,0,1426,0,16,0,1,0,4,4,22,1149,4414,176,33,138,612,3,15.0,102,246,28,49,1193,-99.0,-99.0,-99.0,356,291.0,67,22,396,0,0,85,168,2,3,743,0,3.0,1.6,2.2,1.2,0.0,0.0,2.2,1.7,5.5,6.3,0.0,163,5,1646,187,355,65,17,142,0,4,45,96,12,28,409,0,41.1,37.9,29.9,29.0,0.0,266.8,41.4,31.5,41.1,63.1,0.0,0,0,0,0,0,0,0,0,0,0,0,4,156,26,21,64,0,0,6,94,0,0,0,0,0,0,1,147,528,2,7,1,19,5,8,25,18,2,4,197,0,99,0,14,22,4,11,371,65.42857143,25.4,105.0,65.5,12.8,0,10.05882353,0.0,28.6,40.76470588,413.0,120.125,65.42857143,30.8,252.0,119.75,12.8,0.0,10.05882353,0.0,34.2,59.11764706,577.5,149.875,103700
215,2015,COWLITZ,7654,4066,13360,27725,52804,7766,4160,13229,26322,51476,0,0,0,0,0,0,0,0,0,29,1329,0,647,944,719,1,91,102,0,0,21,0,2,4,17,4841,2,1773,54,843,3075,7457,315,105,0,0,0,0,0,0,0,0,0,0,0,2,750,0,103,106,541,0,23,26,0,2132,0,24,0,4,0,5,1,26,966,4928,195,24,140,601,5,20.0,90,248,26,58,1188,-99.0,-99.0,-99.0,356,263.0,56,12,300,0,0,46,109,0,5,528,0,3.1,1.8,1.4,1.4,0.0,0.0,1.9,1.9,0.0,4.4,0.0,125,6,1964,138,269,64,18,105,2,0,31,62,8,18,308,0,32.9,34.0,38.9,33.2,70.0,0.0,34.9,28.3,37.0,49.6,0.0,0,0,0,0,0,0,0,0,0,0,0,3,118,10,23,49,0,0,10,113,0,0,0,0,0,0,4,121,459,0,8,0,7,10,11,17,9,7,13,152,0,63,0,2,22,0,4,272,24.28571429,27.3,102.6,63.25,20.33333333,0,9.882352941,0.0,234.5,37.8,0.0,161.0,45.28571429,36.7,185.83333330000002,94.33333333,23.66666667,0.0,9.882352941,0.0,353.5,52.5,0.0,240.33333330000002,104280
216,2016,COWLITZ,7670,4090,13288,27999,53047,7806,4154,13160,26683,51803,0,0,0,0,0,0,0,0,0,33,1299,0,719,889,799,3,84,101,0,0,16,0,2,0,8,5005,21,1670,58,941,3219,7616,252,113,0,0,0,0,0,0,0,0,0,0,0,1,723,0,116,113,619,0,17,25,0,2398,0,15,0,0,1,3,13,43,979,5278,160,52,111,737,6,34.0,114,288,37,70,1397,-99.0,-99.0,-99.0,356,282.0,64,10,343,0,0,71,120,2,8,618,0,2.8,2.0,3.0,1.7,0.0,0.0,2.5,1.7,3.0,5.2,0.0,116,9,2191,131,256,48,17,131,1,2,25,46,10,17,297,0,44.0,37.2,36.5,28.1,84.0,316.5,22.9,24.8,51.3,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,115,17,19,51,0,0,6,109,2,0,0,0,0,0,1,109,437,0,4,0,10,3,5,13,6,3,5,102,0,39,0,3,10,2,11,181,98.6,23.7,129.6666667,14.5,10.68421053,0,8.916666667000001,0.0,97.66666667,15.83333333,234.5,79.71428571,128.0,28.7,160.0,14.5,10.68421053,0.0,8.916666667000001,0.0,109.33333329999999,15.83333333,353.5,113.7142857,104850
240,2012,DOUGLAS,3306,1705,5179,9280,19470,3393,1810,5347,8879,19430,0,0,0,0,0,0,0,0,0,4,231,0,245,181,241,0,24,25,0,0,0,0,1,9,0,1147,0,346,7,257,686,1750,80,16,11,1,12,42,2,2,459,0,1,53,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,62,2,2.0,31,37,6,8,166,-99.0,-99.0,-99.0,-99,-99.0,15,2,21,0,0,9,25,0,2,74,0,3.5,3.0,3.0,3.0,0.0,0.0,3.1,2.4,0.0,7.5,0.0,26,0,0,9,35,5,2,11,0,0,4,16,3,5,46,0,62.6,39.2,49.5,32.3,0.0,0.0,15.0,25.1,106.0,50.8,0.0,0,0,7,26,0,3,83,0,0,40,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,4,7,1,2,0,45,0,26,0,4,17,0,3,98,7.0,16.7,18.5,0.0,9.777777777999999,0,11.42857143,0.0,29.0,41.1,0.0,12.33333333,7.0,19.2,18.5,0.0,9.777777777999999,0.0,11.42857143,0.0,29.0,55.8,0.0,12.33333333,38900
241,2013,DOUGLAS,3304,1684,5247,9425,19659,3405,1795,5419,9000,19621,0,0,0,0,0,0,0,0,0,0,246,0,197,194,115,0,29,21,0,0,1,0,0,9,2,1205,0,360,8,145,777,1710,83,28,0,0,0,0,0,0,0,0,0,0,0,0,124,0,18,22,44,0,9,2,0,321,0,1,0,0,1,1,0,2,97,684,32,10,22,54,2,3.0,30,60,2,11,184,-99.0,-99.0,-99.0,-99,-99.0,18,1,29,0,0,12,17,0,2,79,0,3.5,3.0,4.0,2.2,0.0,0.0,4.8,2.5,0.0,5.0,0.0,23,0,0,17,40,5,6,14,2,0,8,7,4,6,54,2,36.4,31.8,40.3,20.7,64.5,0.0,25.0,24.2,13.4,62.2,37.6,0,0,0,0,0,0,0,0,0,0,0,0,20,5,5,22,0,0,1,20,0,0,0,1,0,0,0,48,125,0,3,2,4,0,0,6,4,0,4,26,0,25,0,2,19,0,1,81,10.66666667,17.3,0.0,11.66666667,7.875,0,6.8888888889999995,0.0,31.5,45.0,0.0,15.0,10.66666667,20.7,0.0,11.66666667,7.875,0.0,6.8888888889999995,0.0,31.5,59.7,0.0,15.0,39280
242,2014,DOUGLAS,3307,1687,5278,9558,19830,3426,1831,5459,9155,19870,0,0,0,0,0,0,0,0,0,6,221,0,169,160,108,0,26,14,0,0,0,1,0,3,0,1133,0,339,6,125,766,1597,100,17,0,0,0,0,0,0,0,0,0,0,0,0,118,0,17,25,52,0,2,2,0,306,0,0,1,0,2,0,0,3,106,689,50,5,20,47,1,2.0,42,56,3,11,182,-99.0,-99.0,-99.0,-99,-99.0,8,6,26,0,0,22,29,1,1,93,0,3.6,2.8,4.0,2.5,0.0,0.0,2.3,2.5,6.0,12.0,0.0,20,0,1,8,28,14,0,16,0,0,4,14,1,2,51,0,50.4,30.2,0.0,21.9,0.0,0.0,18.5,19.9,66.0,32.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,25,0,0,1,9,0,0,0,0,0,0,0,23,87,0,0,0,0,2,0,2,0,0,0,17,0,15,0,1,3,0,1,37,0.0,21.8,0.0,0.0,10.33333333,0,6.25,0.0,7.0,166.33333330000002,0.0,30.0,0.0,28.2,0.0,0.0,10.33333333,0.0,6.25,0.0,7.0,245.66666669999998,0.0,30.0,39700
243,2015,DOUGLAS,3281,1692,5276,9705,19955,3416,1823,5478,9318,20035,0,0,0,0,0,0,0,0,0,5,282,0,173,256,150,0,20,12,0,0,3,0,1,7,1,1194,0,407,4,192,736,1793,102,41,0,0,0,0,0,0,0,0,0,0,0,2,127,0,14,32,72,0,6,2,0,319,0,2,0,1,2,0,0,2,113,750,44,12,30,49,1,4.0,43,46,2,9,184,-99.0,-99.0,-99.0,-99,-99.0,8,4,22,0,0,18,19,1,0,72,0,3.8,1.9,1.3,1.3,0.0,0.0,1.9,1.8,6.0,0.0,0.0,17,0,0,10,27,9,2,14,2,1,4,9,1,1,43,0,40.2,41.2,39.5,37.8,55.0,231.0,36.0,23.3,55.0,54.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,11,27,0,0,0,18,0,0,0,2,1,0,0,25,110,0,2,0,1,1,0,2,4,0,2,29,0,26,0,2,3,0,1,67,36.25,12.3,0.0,25.0,9.8,0,10.55555556,0.0,15.0,13.66666667,0.0,0.0,36.25,12.3,0.0,25.0,9.8,0.0,10.55555556,0.0,15.0,13.66666667,0.0,0.0,39990
244,2016,DOUGLAS,3327,1710,5318,9926,20281,3492,1843,5540,9564,20439,0,0,0,0,0,0,0,0,0,3,243,0,140,228,183,0,22,22,0,0,3,0,1,6,0,1191,1,380,2,224,796,1795,105,40,0,0,0,0,0,0,0,0,0,0,0,0,119,0,23,20,84,0,5,6,0,393,0,3,0,0,0,0,0,1,167,891,56,14,42,73,2,7.0,27,63,1,8,223,-99.0,-99.0,-99.0,-99,-99.0,20,4,23,0,0,8,19,0,0,74,0,3.7,2.3,2.8,1.8,0.0,0.0,2.5,1.5,0.0,0.0,0.0,14,0,1,17,31,16,3,11,0,0,3,9,1,4,47,0,25.7,30.0,31.0,30.4,0.0,0.0,14.4,28.5,51.0,54.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,5,34,0,0,0,18,0,0,1,0,0,0,0,30,113,0,0,0,2,0,2,2,1,0,2,34,0,14,0,2,3,0,2,58,105.0,18.2,0.0,9.5,10.4,0,11.66666667,0.0,28.0,3.5,0.0,175.0,252.0,20.8,0.0,9.5,10.4,0.0,11.66666667,0.0,28.0,3.5,0.0,175.0,40720
261,2012,GARFIELD,143,81,200,724,1150,121,97,226,656,1100,0,0,0,0,0,0,0,0,0,1,21,0,16,17,23,0,0,4,0,0,0,0,0,0,1,76,1,37,0,32,42,145,12,7,1,1,1,5,0,1,89,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1.0,4,3,0,2,15,-99.0,-99.0,-99.0,16,8.0,1,0,1,0,0,0,1,0,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2,0,2,7,1,1,0,1,0,1,1,0,1,6,0,43.0,42.3,12.0,0.0,26.0,0.0,25.0,27.5,0.0,120.0,0.0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250
268,2012,FERRY,429,256,733,2259,3678,490,273,913,2298,3972,0,0,0,0,0,0,0,0,0,1,47,0,14,7,7,0,0,4,0,0,0,0,1,0,0,58,0,55,0,8,36,121,3,1,11,0,5,7,0,1,45,1,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,1,1.0,9,7,1,4,51,-99.0,-99.0,-99.0,52,26.0,2,3,4,0,0,3,2,0,1,15,0,5.8,2.9,1.7,1.0,0.0,0.0,2.0,2.5,0.0,12.0,0.0,3,0,26,3,6,2,0,1,0,0,0,1,0,0,4,0,48.0,52.0,0.0,100.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,2,0,0,2,0,0,11,30.0,33.3,56.0,0.0,27.5,0,15.5,0.0,0.0,56.0,0.0,0.0,30.0,35.4,63.0,0.0,29.25,0.0,15.5,0.0,0.0,59.5,0.0,0.0,7650
269,2013,FERRY,432,248,737,2269,3684,485,270,913,2297,3966,0,0,0,0,0,0,0,0,0,0,43,0,28,4,2,0,1,6,0,0,0,0,0,0,0,68,0,57,5,3,30,128,8,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,6,69,0,1,7,19,1,0.0,6,17,0,5,55,-99.0,-99.0,-99.0,52,33.0,0,0,2,0,0,3,3,0,0,8,0,0.0,3.2,0.0,0.2,0.0,0.0,4.4,4.0,0.0,0.0,0.0,6,1,119,0,7,2,0,1,0,0,0,0,0,1,4,0,14.0,44.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,2,0,0,6,0.0,130.7,364.0,0.0,7.5,0,26.0,0.0,0.0,189.5,0.0,0.0,0.0,161.0,455.0,0.0,7.5,0.0,26.0,0.0,0.0,235.0,0.0,0.0,7650
270,2014,FERRY,409,255,742,2284,3690,485,269,909,2307,3970,0,0,0,0,0,0,0,0,0,1,68,0,17,3,27,0,1,4,0,0,0,0,0,2,0,51,0,83,0,28,29,162,9,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,2,28,0,0,2,0,24,0,0,0,0,0,0,0,0,4,102,5,0,11,39,0,1.0,19,18,1,8,97,-99.0,-99.0,-99.0,52,33.0,0,0,12,0,0,1,2,0,0,15,0,0.0,2.3,0.0,2.1,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4,0,82,4,8,1,3,1,0,1,0,3,0,0,9,0,35.0,56.5,39.9,12.0,0.0,278.0,0.0,21.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,4,0,9,0,5,0,0,2,0,1,21,0.0,9.4,12.75,0.0,11.2,0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,9.4,12.75,0.0,11.2,0.0,0.0,0.0,0.0,22.5,0.0,0.0,7660
