,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
130,2012,CLALLAM,3984,2149,7345,22807,36284,4258,2299,8610,20548,35716,0,0,0,0,0,0,0,0,0,7,915,1,642,788,373,3,126,80,0,0,23,1,5,13,4,3552,2,1241,25,444,1960,5237,204,65,51,0,39,111,3,8,764,3,8,258,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,23,1,3,126,0,0,53,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,6,18,72000
131,2013,CLALLAM,3980,2142,7367,22971,36459,4282,2271,8668,20672,35891,0,0,0,0,0,0,0,0,0,6,870,0,575,721,319,2,87,66,0,0,22,0,1,8,8,3431,1,1245,24,405,2016,5081,278,77,0,0,0,0,0,0,0,0,0,0,0,3,434,0,80,81,164,0,22,5,0,394,0,6,0,0,2,1,0,12,518,1916,160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,55,13,21,42,0,1,1,48,0,0,0,2,0,0,0,56,249,3,7,0,5,4,5,9,72350
132,2014,CLALLAM,4001,2113,7388,23001,36503,4257,2286,8715,20739,35997,0,0,0,0,0,0,0,0,0,11,880,0,521,602,319,0,89,52,0,0,13,0,3,6,4,3102,0,1195,27,376,1852,4673,241,53,0,0,0,0,0,0,0,0,0,0,0,0,448,0,78,77,204,0,11,8,0,379,0,5,0,6,1,0,0,14,437,1835,147,20,0,0,0,0,0,0,0,0,0,0,0,0,1,44,7,16,22,0,1,1,52,0,0,0,1,0,0,1,44,190,0,0,0,4,0,5,4,72500
133,2015,CLALLAM,3957,2102,7369,23075,36503,4286,2280,8701,20880,36147,0,0,0,0,0,0,0,0,0,10,886,0,532,669,240,1,93,73,0,0,15,0,0,7,9,3392,0,1227,17,304,2070,4923,246,55,0,0,0,0,0,0,0,0,0,0,0,1,451,0,67,89,147,0,10,7,0,336,0,4,0,1,2,1,0,9,445,1745,146,29,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,13,12,0,0,1,31,0,0,0,1,1,0,0,36,143,0,2,0,3,0,1,3,72650
134,2016,CLALLAM,4017,2108,7328,23415,36868,4330,2289,8703,21220,36542,0,0,0,0,0,0,0,0,0,11,881,0,445,564,257,1,92,78,0,0,21,0,3,6,14,2820,0,1206,11,333,1696,4359,217,62,0,0,0,0,0,0,0,0,0,0,0,4,436,0,51,88,168,0,5,5,0,441,0,11,0,1,2,1,0,3,374,1729,119,20,0,0,0,0,0,0,0,0,0,0,0,0,2,54,6,9,9,0,0,3,46,0,0,0,0,0,0,0,30,165,3,3,0,5,4,1,9,73410
157,2012,CLARK,34825,18783,60608,104115,218333,36526,19853,59873,96665,212917,0,0,0,0,0,0,0,0,0,100,4200,0,2462,2594,1276,3,504,265,0,0,38,0,7,15,14,15708,16,5130,231,1449,9814,22287,605,143,179,12,344,682,8,65,9010,24,132,1673,12129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,13,63,80,0,9,1035,7,28,239,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,9,22,42,431250
158,2013,CLARK,34734,18736,60964,106006,220438,36416,19828,60254,98565,215062,0,0,0,0,0,0,0,0,0,78,3762,0,2129,2219,938,5,302,211,0,0,24,1,3,21,11,13902,3,4589,197,1091,8972,19582,567,139,0,0,0,0,0,0,0,0,0,0,0,12,1457,0,234,248,545,1,56,26,0,7242,0,12,1,1,3,1,0,111,1364,11689,326,49,2,0,0,0,0,0,0,0,0,0,0,0,2,216,38,62,71,0,2,2,312,0,0,0,1,0,0,13,171,908,3,15,6,32,6,19,44,435500
159,2013,GARFIELD,142,82,199,718,1143,122,98,223,662,1107,0,0,0,0,0,0,0,0,0,0,54,0,7,15,17,0,1,2,0,0,0,0,0,0,0,72,0,67,0,25,49,164,11,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,153,0,0,0,0,0,1,0,0,5,184,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,2250
160,2014,CLARK,34836,18708,61690,108938,224171,36746,19759,60937,101187,218629,0,0,0,0,0,0,0,0,0,96,3768,0,1806,2227,943,4,172,235,0,0,40,1,7,10,17,12745,3,4588,208,1088,8232,18421,527,125,0,0,0,0,0,0,0,0,0,0,0,9,1500,0,230,255,513,0,37,27,0,5874,0,22,1,5,3,3,0,89,1274,10196,310,44,0,0,0,0,0,0,0,0,0,0,0,0,8,216,43,65,80,0,0,6,205,0,0,0,0,0,0,14,120,772,1,14,2,39,8,19,49,442800
161,2015,CLARK,34994,18798,62557,112332,228682,36861,19869,61826,104583,223138,0,0,0,0,0,0,0,0,0,120,3662,1,1878,2550,1010,5,243,294,0,0,91,0,6,9,4,15074,7,4612,189,1192,10088,20878,550,171,0,0,0,0,0,0,0,0,0,0,0,15,1370,2,295,195,519,1,20,28,0,5831,2,27,0,2,1,1,4,86,1346,10101,291,65,0,0,0,0,0,0,0,0,0,0,0,0,2,244,45,61,59,0,0,5,291,1,0,1,0,0,0,19,145,883,3,7,0,28,12,13,40,451820
