,Year,County,JRN_TOTAL,NIB_TOTAL,Total Male,Total Female,Total Population,Total Crime,Male Crime %,Female Crime %
698,2012,PEND OREILLE,0,1017,6636,6464,13100,1017,15.33,15.73
699,2013,PEND OREILLE,0,1073,6654,6496,13150,1073,16.13,16.52
700,2014,PEND OREILLE,0,885,6696,6514,13210,885,13.22,13.59
701,2015,PEND OREILLE,0,732,6722,6518,13240,732,10.89,11.23
702,2016,PEND OREILLE,20,667,6769,6521,13290,687,10.15,10.54
725,2012,PIERCE,0,70493,399207,408993,808200,70493,17.66,17.24
726,2013,PIERCE,2403,70552,402301,412199,814500,72955,18.13,17.7
727,2014,PIERCE,2024,68336,405643,415657,821300,70360,17.35,16.93
728,2015,PIERCE,1709,68571,410292,419828,830120,70280,17.13,16.74
729,2016,PIERCE,1536,71961,417038,427452,844490,73497,17.62,17.19
752,2012,SAN JUAN,0,390,7739,8186,15925,390,5.04,4.76
753,2013,SAN JUAN,12,363,7773,8227,16000,375,4.82,4.56
754,2014,SAN JUAN,4,276,7818,8282,16100,280,3.58,3.38
755,2015,SAN JUAN,9,359,7858,8322,16180,368,4.68,4.42
756,2016,SAN JUAN,11,331,7919,8401,16320,342,4.32,4.07
779,2012,SKAGIT,0,10859,58445,59505,117950,10859,18.58,18.25
780,2013,SKAGIT,494,10543,58767,59833,118600,11037,18.78,18.45
781,2014,SKAGIT,438,9433,59225,60275,119500,9871,16.67,16.38
782,2015,SKAGIT,462,10678,59862,60758,120620,11140,18.61,18.34
784,2016,SKAGIT,343,10336,60702,61568,122270,10679,17.59,17.35
805,2012,SKAMANIA,0,367,5683,5592,11275,367,6.46,6.56
806,2013,SKAMANIA,13,306,5694,5606,11300,319,5.6,5.69
807,2014,SKAMANIA,9,283,5721,5649,11370,292,5.1,5.17
808,2015,SKAMANIA,8,258,5749,5681,11430,266,4.63,4.68
809,2016,SKAMANIA,6,187,5802,5698,11500,193,3.33,3.39
833,2012,SNOHOMISH,0,3942,362123,360777,722900,3942,1.09,1.09
834,2013,SNOHOMISH,334,5450,366119,364381,730500,5784,1.58,1.59
835,2014,SNOHOMISH,290,6214,371305,369695,741000,6504,1.75,1.76
836,2015,SNOHOMISH,469,12432,379807,377793,757600,12901,3.4,3.41
837,2016,SNOHOMISH,1404,46965,387623,385237,772860,48369,12.48,12.56
859,2012,SPOKANE,0,1663,235271,240329,475600,1663,0.71,0.69
860,2013,SPOKANE,60,1591,237518,242482,480000,1651,0.7,0.68
861,2014,SPOKANE,63,1633,239916,244584,484500,1696,0.71,0.69
862,2015,SPOKANE,50,1732,242166,246144,488310,1782,0.74,0.72
863,2016,SPOKANE,305,19324,244445,248085,492530,19629,8.03,7.91
886,2012,STATE,0,330669,3396782,3420988,6817770,330669,9.73,9.67
887,2013,STATE,13754,346690,3429328,3453072,6882400,360444,10.51,10.44
888,2014,STATE,12997,374452,3472417,3495753,6968170,387449,11.16,11.08
889,2015,STATE,12628,388423,3521913,3539497,7061410,401051,11.39,11.33
890,2016,STATE,12148,448677,3583709,3599991,7183700,460825,12.86,12.8
913,2012,STEVENS,0,1962,21829,21871,43700,1962,8.99,8.97
914,2013,STEVENS,38,1720,21887,21913,43800,1758,8.03,8.02
915,2014,STEVENS,17,1865,21897,22003,43900,1882,8.59,8.55
916,2015,STEVENS,21,1828,21988,22042,44030,1849,8.41,8.39
917,2016,STEVENS,9,1579,22011,22089,44100,1588,7.21,7.19
940,2012,THURSTON,0,6205,125226,131574,256800,6205,4.96,4.72
941,2013,THURSTON,275,5488,126818,133282,260100,5763,4.54,4.32
942,2014,THURSTON,606,14868,128711,135289,264000,15474,12.02,11.44
943,2015,THURSTON,469,15941,130498,136912,267410,16410,12.57,11.99
944,2016,THURSTON,380,16366,133107,139583,272690,16746,12.58,12.0
967,2012,WAHKIAKUM,0,61,2018,2007,4025,61,3.02,3.04
968,2013,WAHKIAKUM,0,78,2008,2012,4020,78,3.88,3.88
969,2014,WAHKIAKUM,1,112,2005,2005,4010,113,5.64,5.64
970,2015,WAHKIAKUM,15,142,1992,1988,3980,157,7.88,7.9
971,2016,WAHKIAKUM,2,137,1993,2007,4000,139,6.97,6.93
994,2012,WALLA WALLA,0,1354,30019,29081,59100,1354,4.51,4.66
995,2013,WALLA WALLA,208,4163,30118,29382,59500,4371,14.51,14.88
996,2014,WALLA WALLA,194,4274,30431,29719,60150,4468,14.68,15.03
997,2015,WALLA WALLA,141,4259,30707,29943,60650,4400,14.33,14.69
998,2016,WALLA WALLA,100,4387,30650,30080,60730,4487,14.64,14.92
1021,2012,WHATCOM,0,11155,100892,102608,203500,11155,11.06,10.87
1022,2013,WHATCOM,517,10903,102142,103658,205800,11420,11.18,11.02
1023,2014,WHATCOM,532,14629,103045,104555,207600,15161,14.71,14.5
1024,2015,WHATCOM,427,13437,104249,105541,209790,13864,13.3,13.14
1025,2016,WHATCOM,315,14348,105718,106822,212540,14663,13.87,13.73
1048,2012,WHITMAN,0,2449,23279,22671,45950,2449,10.52,10.8
1049,2013,WHITMAN,50,1905,23335,22665,46000,1955,8.38,8.63
1050,2014,WHITMAN,80,2149,23613,22887,46500,2229,9.44,9.74
1051,2015,WHITMAN,60,1771,24060,23190,47250,1831,7.61,7.9
1052,2016,WHITMAN,53,1385,24073,23867,47940,1438,5.97,6.03
1075,2012,YAKIMA,0,17393,122801,123199,246000,17393,14.16,14.12
1076,2013,YAKIMA,947,18600,123079,124171,247250,19547,15.88,15.74
1077,2014,YAKIMA,930,17643,123772,125028,248800,18573,15.01,14.86
1078,2015,YAKIMA,991,19178,124232,125738,249970,20169,16.23,16.04
1079,2016,YAKIMA,889,19713,124451,126449,250900,20602,16.55,16.29
