Date,Sales,Excise Tax Due,Sales (Shelf Price)
3/4/2015,1178007.35,235601.47,942405.88
3/5/2015,1247441.075,249488.215,997952.86
3/6/2015,1441896.275,288379.255,1153517.02
3/7/2015,1234008.275,246801.655,987206.62
3/8/2015,694496.2875,138899.2575,555597.03
3/9/2015,1107614.45,221522.89,886091.56
3/10/2015,1031749.788,206349.9575,825399.83
3/11/2015,1277116.325,255423.265,1021693.06
3/12/2015,1373220.75,274644.15,1098576.6
3/13/2015,1383308.45,276661.69,1106646.76
3/14/2015,1064333.063,212866.6125,851466.45
3/15/2015,604388.45,120877.69,483510.76
3/16/2015,1342838.588,268567.7175,1074270.87
3/17/2015,1224210.975,244842.195,979368.78
3/18/2015,1421094.125,284218.825,1136875.3
3/19/2015,1460051.075,292010.215,1168040.86
3/20/2015,1417590.65,283518.13,1134072.52
3/21/2015,1071958.725,214391.745,857566.98
3/22/2015,812106.425,162421.285,649685.14
3/23/2015,1208497.9,241699.58,966798.32
3/24/2015,966000.8875,193200.1775,772800.71
3/25/2015,1213663.588,242732.7175,970930.87
3/26/2015,1451020.613,290204.1225,1160816.49
3/27/2015,1488164.788,297632.9575,1190531.83
3/28/2015,1356631.2,271326.24,1085304.96
3/29/2015,906681.075,181336.215,725344.86
3/30/2015,1615939.125,323187.825,1292751.3
3/31/2015,1867612.5,373522.5,1494090
4/1/2015,1227210.113,245442.0225,981768.09
4/2/2015,1350634.8,270126.96,1080507.84
4/3/2015,1545032.9,309006.58,1236026.32
4/4/2015,1184060.2,236812.04,947248.16
4/5/2015,563346.475,112669.295,450677.18
4/6/2015,1228174.05,245634.81,982539.24
4/7/2015,1264679.363,252935.8725,1011743.49
4/8/2015,1391862.363,278372.4725,1113489.89
4/9/2015,1662070.638,332414.1275,1329656.51
4/10/2015,1639184.963,327836.9925,1311347.97
4/11/2015,1644320.613,328864.1225,1315456.49
4/12/2015,843536.5125,168707.3025,674829.21
4/13/2015,1347309.313,269461.8625,1077847.45
4/14/2015,1395084.1,279016.82,1116067.28
4/15/2015,1453493.688,290698.7375,1162794.95
4/16/2015,1726720.538,345344.1075,1381376.43
4/17/2015,2205287.2,441057.44,1764229.76
4/18/2015,1506286.7,301257.34,1205029.36
4/19/2015,1481679.175,296335.835,1185343.34
4/20/2015,1866379.2,373275.84,1493103.36
4/21/2015,1291946.038,258389.2075,1033556.83
4/22/2015,1320114.725,264022.945,1056091.78
4/23/2015,1924588.975,384917.795,1539671.18
4/24/2015,2198595.925,439719.185,1758876.74
4/25/2015,1345522.225,269104.445,1076417.78
4/26/2015,1015958.138,203191.6275,812766.51
4/27/2015,1241567.475,248313.495,993253.98
4/28/2015,1533383.588,306676.7175,1226706.87
4/29/2015,1542323.65,308464.73,1233858.92
4/30/2015,2071308.5,414261.7,1657046.8
5/1/2015,2320895.025,464179.005,1856716.02
5/2/2015,1496309.875,299261.975,1197047.9
5/3/2015,785664.85,157132.97,628531.88
5/4/2015,1366645.25,273329.05,1093316.2
5/5/2015,1410843.975,282168.795,1128675.18
5/6/2015,1596078.613,319215.7225,1276862.89
5/7/2015,1780630.525,356126.105,1424504.42
