,Year,County,NIB_FSEX,NIB_NFSEX,NIB_HTRFFCKNG,JRN_FSEX,JRN_NFSEX,Total Population,Total Crime,Crime %
944,2016,WAHKIAKUM,2,2,0,1,0,4000,5,0.12
967,2012,WALLA WALLA,15,1,0,0,0,59100,16,0.03
968,2013,WALLA WALLA,33,3,0,1,0,59500,37,0.06
969,2014,WALLA WALLA,40,4,0,1,0,60150,45,0.07
970,2015,WALLA WALLA,61,9,0,3,0,60650,73,0.12
971,2016,WALLA WALLA,54,5,0,1,0,60730,60,0.1
994,2012,WHATCOM,108,9,0,0,0,203500,117,0.06
995,2013,WHATCOM,117,7,0,7,0,205800,131,0.06
996,2014,WHATCOM,160,9,0,3,1,207600,173,0.08
997,2015,WHATCOM,160,18,0,3,0,209790,181,0.09
998,2016,WHATCOM,200,22,0,3,2,212540,227,0.11
1021,2012,WHITMAN,39,0,0,0,0,45950,39,0.08
1022,2013,WHITMAN,25,5,0,2,0,46000,32,0.07
1023,2014,WHITMAN,26,1,0,1,0,46500,28,0.06
1024,2015,WHITMAN,26,0,0,1,2,47250,29,0.06
1025,2016,WHITMAN,50,1,0,6,0,47940,57,0.12
1048,2012,YAKIMA,220,15,0,0,0,246000,235,0.1
1049,2013,YAKIMA,256,16,0,12,0,247250,284,0.11
1050,2014,YAKIMA,289,16,0,9,0,248800,314,0.13
1051,2015,YAKIMA,296,13,0,6,0,249970,315,0.13
1052,2016,YAKIMA,321,11,0,12,0,250900,344,0.14
