RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
420800,12/1/2016 - 12/31/2016," $37,067 "," $13,715 "
413677,12/1/2016 - 12/31/2016," $125,281 "," $46,354 "
420801,12/1/2016 - 12/31/2016," $150,351 "," $55,630 "
414065,12/1/2016 - 12/31/2016," $163,469 "," $60,483 "
415507,12/1/2016 - 12/31/2016," $197,625 "," $73,121 "
415517,12/1/2016 - 12/31/2016," $246,856 "," $91,337 "
415513,12/1/2016 - 12/31/2016," $108,647 "," $40,199 "
414539,12/1/2016 - 12/31/2016," $3,464 "," $1,282 "
415303,12/1/2016 - 12/31/2016," $32,390 "," $11,984 "
414983,12/1/2016 - 12/31/2016," $439,394 "," $162,576 "
413870,12/1/2016 - 12/31/2016," $159,541 "," $59,030 "
414216,12/1/2016 - 12/31/2016," $19,188 "," $7,100 "
415343,12/1/2016 - 12/31/2016," $87,534 "," $32,388 "
413773,12/1/2016 - 12/31/2016," $359,423 "," $132,986 "
412494,12/1/2016 - 12/31/2016," $677,412 "," $250,643 "
414716,12/1/2016 - 12/31/2016," $265,907 "," $98,386 "
413926,12/1/2016 - 12/31/2016," $61,194 "," $22,642 "
414829,12/1/2016 - 12/31/2016," $424,832 "," $157,188 "
415115,12/1/2016 - 12/31/2016," $165,446 "," $61,215 "
415183,12/1/2016 - 12/31/2016," $177,730 "," $65,760 "
400209,12/1/2016 - 12/31/2016," $59,650 "," $22,071 "
417486,12/1/2016 - 12/31/2016," $76,296 "," $28,229 "
414256,12/1/2016 - 12/31/2016," $137,962 "," $51,046 "
417469,12/1/2016 - 12/31/2016," $72,134 "," $26,689 "
413369,12/1/2016 - 12/31/2016," $586,738 "," $217,093 "
414871,12/1/2016 - 12/31/2016," $253,023 "," $93,618 "
421141,12/1/2016 - 12/31/2016," $399,493 "," $147,812 "
414533,12/1/2016 - 12/31/2016," $977,325 "," $361,610 "
421514,12/1/2016 - 12/31/2016," $93,006 "," $34,412 "
415010,12/1/2016 - 12/31/2016," $492,053 "," $182,059 "
415534,12/1/2016 - 12/31/2016," $53,938 "," $19,957 "
415445,12/1/2016 - 12/31/2016," $82,695 "," $30,597 "
415641,12/1/2016 - 12/31/2016," $155,999 "," $57,720 "
414011,12/1/2016 - 12/31/2016," $308,524 "," $114,154 "
415148,12/1/2016 - 12/31/2016," $89,155 "," $32,987 "
414995,12/1/2016 - 12/31/2016," $136,827 "," $50,626 "
414868,12/1/2016 - 12/31/2016," $407,831 "," $150,897 "
412466,12/1/2016 - 12/31/2016," $103,247 "," $38,202 "
417511,12/1/2016 - 12/31/2016," $1,549 ", $573 
423993,12/1/2016 - 12/31/2016," $13,984 "," $5,174 "
414398,12/1/2016 - 12/31/2016," $307,626 "," $113,821 "
414959,12/1/2016 - 12/31/2016," $21,323 "," $7,889 "
414449,12/1/2016 - 12/31/2016," $708,662 "," $262,205 "
415488,12/1/2016 - 12/31/2016," $186,105 "," $68,859 "
RETAILERS PERIOD TOTAL,12/1/2016 - 12/31/2016," $73,130,207 "," $27,058,176 "
414884,1/1/2017 - 1/31/2017," $241,926 "," $89,512 "
423413,1/1/2017 - 1/31/2017," $517,579 "," $191,504 "
421084,1/1/2017 - 1/31/2017," $417,618 "," $154,519 "
415470,1/1/2017 - 1/31/2017," $267,135 "," $98,840 "
413314,1/1/2017 - 1/31/2017," $199,881 "," $73,956 "
423775,1/1/2017 - 1/31/2017," $68,845 "," $25,473 "
414574,1/1/2017 - 1/31/2017," $138,538 "," $51,259 "
84154,1/1/2017 - 1/31/2017," $259,521 "," $96,023 "
413310,1/1/2017 - 1/31/2017, $49 , $18 
423784,1/1/2017 - 1/31/2017," $221,602 "," $81,993 "
415083,1/1/2017 - 1/31/2017," $681,026 "," $251,979 "
415526,1/1/2017 - 1/31/2017," $233,025 "," $86,219 "
414550,1/1/2017 - 1/31/2017," $149,533 "," $55,327 "
414733,1/1/2017 - 1/31/2017," $352,490 "," $130,421 "
413586,1/1/2017 - 1/31/2017," $106,979 "," $39,582 "
413700,1/1/2017 - 1/31/2017," $19,934 "," $7,375 "
421562,1/1/2017 - 1/31/2017," $258,828 "," $95,766 "
421757,1/1/2017 - 1/31/2017," $142,658 "," $52,784 "
421491,1/1/2017 - 1/31/2017," $101,936 "," $37,716 "
413821,1/1/2017 - 1/31/2017," $78,756 "," $29,140 "
414441,1/1/2017 - 1/31/2017," $18,074 "," $6,688 "
414225,1/1/2017 - 1/31/2017," $167,806 "," $62,088 "
410332,1/1/2017 - 1/31/2017," $289,133 "," $106,979 "
421652,1/1/2017 - 1/31/2017," $58,916 "," $21,799 "
421110,1/1/2017 - 1/31/2017," $194,773 "," $72,066 "
422447,1/1/2017 - 1/31/2017," $195,640 "," $72,387 "
413530,1/1/2017 - 1/31/2017," $31,693 "," $11,726 "
414558,1/1/2017 - 1/31/2017," $32,950 "," $12,191 "
350641,1/1/2017 - 1/31/2017," $24,181 "," $8,947 "
420478,1/1/2017 - 1/31/2017," $115,670 "," $42,798 "
415253,1/1/2017 - 1/31/2017," $695,024 "," $257,159 "
421709,1/1/2017 - 1/31/2017," $81,248 "," $30,062 "
422202,1/1/2017 - 1/31/2017," $40,867 "," $15,121 "
413802,1/1/2017 - 1/31/2017," $113,328 "," $41,931 "
415361,1/1/2017 - 1/31/2017," $58,634 "," $21,695 "
421568,1/1/2017 - 1/31/2017," $39,824 "," $14,735 "
413901,1/1/2017 - 1/31/2017," $159,931 "," $59,174 "
410831,1/1/2017 - 1/31/2017," $299,609 "," $110,855 "
415504,1/1/2017 - 1/31/2017," $600,703 "," $222,260 "
415203,1/1/2017 - 1/31/2017," $233,500 "," $86,395 "
413893,1/1/2017 - 1/31/2017," $318,377 "," $117,800 "
420661,1/1/2017 - 1/31/2017," $102,511 "," $37,929 "
421005,1/1/2017 - 1/31/2017," $172,147 "," $63,695 "
424057,1/1/2017 - 1/31/2017," $48,006 "," $17,762 "
414211,1/1/2017 - 1/31/2017," $385,764 "," $142,733 "
360307,1/1/2017 - 1/31/2017," $461,420 "," $170,726 "
415567,1/1/2017 - 1/31/2017," $220,176 "," $81,465 "
422944,1/1/2017 - 1/31/2017," $149,668 "," $55,377 "
413319,1/1/2017 - 1/31/2017," $230,070 "," $85,126 "
420123,1/1/2017 - 1/31/2017," $53,266 "," $19,708 "
414970,1/1/2017 - 1/31/2017," $202,877 "," $75,064 "
421083,1/1/2017 - 1/31/2017," $62,983 "," $23,304 "
421630,1/1/2017 - 1/31/2017," $71,317 "," $26,387 "
422570,1/1/2017 - 1/31/2017," $131,976 "," $48,831 "
402780,1/1/2017 - 1/31/2017," $67,459 "," $24,960 "
422466,1/1/2017 - 1/31/2017," $25,609 "," $9,475 "
422992,1/1/2017 - 1/31/2017," $74,836 "," $27,689 "
415575,1/1/2017 - 1/31/2017," $162,256 "," $60,035 "
413366,1/1/2017 - 1/31/2017," $132,640 "," $49,077 "
414060,1/1/2017 - 1/31/2017," $247,735 "," $91,662 "
421813,1/1/2017 - 1/31/2017," $85,947 "," $31,801 "
415094,1/1/2017 - 1/31/2017," $353,693 "," $130,866 "
413819,1/1/2017 - 1/31/2017," $410,610 "," $151,926 "
413492,1/1/2017 - 1/31/2017," $82,173 "," $30,404 "
414817,1/1/2017 - 1/31/2017," $461,763 "," $170,852 "
413940,1/1/2017 - 1/31/2017," $227,007 "," $83,993 "
413358,1/1/2017 - 1/31/2017," $1,139,173 "," $421,494 "
413803,1/1/2017 - 1/31/2017," $290,355 "," $107,431 "
414491,1/1/2017 - 1/31/2017," $344,390 "," $127,424 "
413729,1/1/2017 - 1/31/2017," $114,151 "," $42,236 "
422234,1/1/2017 - 1/31/2017," $53,631 "," $19,843 "
422097,1/1/2017 - 1/31/2017," $10,811 "," $4,000 "
413529,1/1/2017 - 1/31/2017," $50,147 "," $18,554 "
423571,1/1/2017 - 1/31/2017," $102,365 "," $37,875 "
414503,1/1/2017 - 1/31/2017," $305,595 "," $113,070 "
413374,1/1/2017 - 1/31/2017," $263,902 "," $97,644 "
423754,1/1/2017 - 1/31/2017," $118,489 "," $43,841 "
423036,1/1/2017 - 1/31/2017," $30,454 "," $11,268 "
421332,1/1/2017 - 1/31/2017," $28,858 "," $10,677 "
414569,1/1/2017 - 1/31/2017," $259,715 "," $96,095 "
414174,1/1/2017 - 1/31/2017," $282,020 "," $104,348 "
414841,1/1/2017 - 1/31/2017," $467,105 "," $172,829 "
413363,1/1/2017 - 1/31/2017," $421,850 "," $156,085 "
84130,1/1/2017 - 1/31/2017," $25,533 "," $9,447 "
414495,1/1/2017 - 1/31/2017," $144,114 "," $53,322 "
415064,1/1/2017 - 1/31/2017," $58,798 "," $21,755 "
414714,1/1/2017 - 1/31/2017," $800,424 "," $296,157 "
415211,1/1/2017 - 1/31/2017," $241,563 "," $89,378 "
422049,1/1/2017 - 1/31/2017," $107,678 "," $39,841 "
414280,1/1/2017 - 1/31/2017," $153,824 "," $56,915 "
421708,1/1/2017 - 1/31/2017," $224,350 "," $83,009 "
415031,1/1/2017 - 1/31/2017," $187,495 "," $69,373 "
412922,1/1/2017 - 1/31/2017," $179,002 "," $66,231 "
413558,1/1/2017 - 1/31/2017," $556,243 "," $205,810 "
415539,1/1/2017 - 1/31/2017," $30,341 "," $11,226 "
422168,1/1/2017 - 1/31/2017," $80,780 "," $29,889 "
414292,1/1/2017 - 1/31/2017," $55,790 "," $20,642 "
415294,1/1/2017 - 1/31/2017," $35,735 "," $13,222 "
414785,1/1/2017 - 1/31/2017," $175,386 "," $64,893 "
413737,1/1/2017 - 1/31/2017," $176,338 "," $65,245 "
412923,1/1/2017 - 1/31/2017," $591,571 "," $218,881 "
414450,1/1/2017 - 1/31/2017," $19,711 "," $7,293 "
414108,1/1/2017 - 1/31/2017, $40 , $15 
414761,1/1/2017 - 1/31/2017," $85,255 "," $31,544 "
415130,1/1/2017 - 1/31/2017," $212,887 "," $78,768 "
421667,1/1/2017 - 1/31/2017," $32,530 "," $12,036 "
416540,1/1/2017 - 1/31/2017," $196,583 "," $72,736 "
414918,1/1/2017 - 1/31/2017," $77,020 "," $28,497 "
413886,1/1/2017 - 1/31/2017," $228,545 "," $84,561 "
414755,1/1/2017 - 1/31/2017," $85,547 "," $31,652 "
414573,1/1/2017 - 1/31/2017," $36,127 "," $13,367 "
413798,1/1/2017 - 1/31/2017," $80,632 "," $29,834 "
422504,1/1/2017 - 1/31/2017," $127,931 "," $47,334 "
410798,1/1/2017 - 1/31/2017," $154,380 "," $57,121 "
413801,1/1/2017 - 1/31/2017," $52,439 "," $19,403 "
414417,1/1/2017 - 1/31/2017," $550,204 "," $203,576 "
81400,1/1/2017 - 1/31/2017," $42,321 "," $15,659 "
421759,1/1/2017 - 1/31/2017," $133,588 "," $49,428 "
420793,1/1/2017 - 1/31/2017," $107,904 "," $39,924 "
422572,1/1/2017 - 1/31/2017," $763,230 "," $282,395 "
422655,1/1/2017 - 1/31/2017," $14,450 "," $5,347 "
414356,1/1/2017 - 1/31/2017," $214,909 "," $79,516 "
420898,1/1/2017 - 1/31/2017," $112,903 "," $41,774 "
422103,1/1/2017 - 1/31/2017," $19,605 "," $7,254 "
415112,1/1/2017 - 1/31/2017," $586,548 "," $217,023 "
414295,1/1/2017 - 1/31/2017," $789,247 "," $292,021 "
414298,1/1/2017 - 1/31/2017," $80,429 "," $29,759 "
413541,1/1/2017 - 1/31/2017," $185,302 "," $68,562 "
413428,1/1/2017 - 1/31/2017," $48,464 "," $17,932 "
415124,1/1/2017 - 1/31/2017," $73,107 "," $27,050 "
421900,1/1/2017 - 1/31/2017," $232,894 "," $86,171 "
354876,1/1/2017 - 1/31/2017," $193,570 "," $71,621 "
423379,1/1/2017 - 1/31/2017," $612,653 "," $226,682 "
415333,1/1/2017 - 1/31/2017," $551,130 "," $203,918 "
421409,1/1/2017 - 1/31/2017," $239,272 "," $88,531 "
402039,1/1/2017 - 1/31/2017," $283,174 "," $104,774 "
421918,1/1/2017 - 1/31/2017," $18,605 "," $6,884 "
419759,1/1/2017 - 1/31/2017," $79,791 "," $29,523 "
413702,1/1/2017 - 1/31/2017," $46,783 "," $17,310 "
413683,1/1/2017 - 1/31/2017," $526,744 "," $194,895 "
420291,1/1/2017 - 1/31/2017," $333,351 "," $123,340 "
413570,1/1/2017 - 1/31/2017," $353,860 "," $130,928 "
422431,1/1/2017 - 1/31/2017," $127,301 "," $47,101 "
413550,1/1/2017 - 1/31/2017," $232,019 "," $85,847 "
414430,1/1/2017 - 1/31/2017," $200,351 "," $74,130 "
423977,1/1/2017 - 1/31/2017," $47,599 "," $17,612 "
413534,1/1/2017 - 1/31/2017," $164,380 "," $60,821 "
421702,1/1/2017 - 1/31/2017," $505,427 "," $187,008 "
422218,1/1/2017 - 1/31/2017," $753,725 "," $278,878 "
414889,1/1/2017 - 1/31/2017," $554,737 "," $205,253 "
421350,1/1/2017 - 1/31/2017," $8,638 "," $3,196 "
413843,1/1/2017 - 1/31/2017," $223,812 "," $82,811 "
414750,1/1/2017 - 1/31/2017," $108,371 "," $40,097 "
413727,1/1/2017 - 1/31/2017," $155,734 "," $57,622 "
414867,1/1/2017 - 1/31/2017," $740,831 "," $274,107 "
423203,1/1/2017 - 1/31/2017," $57,317 "," $21,207 "
417643,1/1/2017 - 1/31/2017," $266,762 "," $98,702 "
421168,1/1/2017 - 1/31/2017," $151,716 "," $56,135 "
422012,1/1/2017 - 1/31/2017," $58,203 "," $21,535 "
413846,1/1/2017 - 1/31/2017," $14,285 "," $5,285 "
424117,1/1/2017 - 1/31/2017," $40,312 "," $14,915 "
421359,1/1/2017 - 1/31/2017," $71,853 "," $26,586 "
420336,1/1/2017 - 1/31/2017," $89,968 "," $33,288 "
421552,1/1/2017 - 1/31/2017," $82,382 "," $30,481 "
414520,1/1/2017 - 1/31/2017," $737,634 "," $272,925 "
416102,1/1/2017 - 1/31/2017," $142,260 "," $52,636 "
415509,1/1/2017 - 1/31/2017," $113,167 "," $41,872 "
417880,1/1/2017 - 1/31/2017," $59,707 "," $22,092 "
420741,1/1/2017 - 1/31/2017," $349,209 "," $129,207 "
415425,1/1/2017 - 1/31/2017," $121,717 "," $45,035 "
415222,1/1/2017 - 1/31/2017," $122,419 "," $45,295 "
415216,1/1/2017 - 1/31/2017," $207,374 "," $76,728 "
415406,1/1/2017 - 1/31/2017," $137,002 "," $50,691 "
414243,1/1/2017 - 1/31/2017," $137,551 "," $50,894 "
414823,1/1/2017 - 1/31/2017," $352,120 "," $130,284 "
413544,1/1/2017 - 1/31/2017," $202,836 "," $75,049 "
422278,1/1/2017 - 1/31/2017," $214,492 "," $79,362 "
412370,1/1/2017 - 1/31/2017," $264,588 "," $97,898 "
414963,1/1/2017 - 1/31/2017," $223,031 "," $82,522 "
415429,1/1/2017 - 1/31/2017," $147,540 "," $54,590 "
420497,1/1/2017 - 1/31/2017," $76,063 "," $28,143 "
422442,1/1/2017 - 1/31/2017," $252,361 "," $93,374 "
414160,1/1/2017 - 1/31/2017," $135,351 "," $50,080 "
414532,1/1/2017 - 1/31/2017," $412,343 "," $152,567 "
414876,1/1/2017 - 1/31/2017," $1,321,954 "," $489,123 "
421805,1/1/2017 - 1/31/2017," $531,931 "," $196,814 "
421789,1/1/2017 - 1/31/2017," $299,113 "," $110,672 "
413414,1/1/2017 - 1/31/2017," $88,307 "," $32,673 "
414893,1/1/2017 - 1/31/2017," $175,155 "," $64,808 "
422298,1/1/2017 - 1/31/2017," $30,950 "," $11,451 "
421632,1/1/2017 - 1/31/2017," $50,136 "," $18,550 "
420400,1/1/2017 - 1/31/2017," $35,099 "," $12,987 "
419640,1/1/2017 - 1/31/2017," $125,365 "," $46,385 "
420889,1/1/2017 - 1/31/2017," $179,800 "," $66,526 "
415652,1/1/2017 - 1/31/2017," $301,356 "," $111,502 "
414864,1/1/2017 - 1/31/2017," $96,952 "," $35,872 "
417646,1/1/2017 - 1/31/2017," $44,662 "," $16,525 "
422158,1/1/2017 - 1/31/2017," $152,878 "," $56,565 "
424257,1/1/2017 - 1/31/2017," $14,787 "," $5,471 "
424311,1/1/2017 - 1/31/2017," $191,872 "," $70,993 "
415037,1/1/2017 - 1/31/2017," $133,823 "," $49,515 "
415325,1/1/2017 - 1/31/2017," $90,559 "," $33,507 "
414250,1/1/2017 - 1/31/2017," $77,329 "," $28,612 "
415001,1/1/2017 - 1/31/2017," $168,582 "," $62,375 "
414735,1/1/2017 - 1/31/2017," $98,156 "," $36,318 "
415314,1/1/2017 - 1/31/2017," $81,055 "," $29,991 "
422796,1/1/2017 - 1/31/2017," $33,679 "," $12,461 "
413980,1/1/2017 - 1/31/2017," $427,278 "," $158,093 "
424190,1/1/2017 - 1/31/2017," $23,782 "," $8,799 "
413930,1/1/2017 - 1/31/2017," $53,059 "," $19,632 "
423390,1/1/2017 - 1/31/2017," $66,353 "," $24,551 "
414181,1/1/2017 - 1/31/2017," $150,086 "," $55,532 "
413732,1/1/2017 - 1/31/2017," $330,644 "," $122,338 "
421698,1/1/2017 - 1/31/2017," $205,087 "," $75,882 "
415658,1/1/2017 - 1/31/2017," $261,137 "," $96,621 "
422507,1/1/2017 - 1/31/2017," $36,271 "," $13,420 "
413407,1/1/2017 - 1/31/2017," $77,971 "," $28,849 "
423492,1/1/2017 - 1/31/2017," $300,497 "," $111,184 "
421490,1/1/2017 - 1/31/2017," $128,129 "," $47,408 "
414345,1/1/2017 - 1/31/2017," $77,196 "," $28,562 "
413372,1/1/2017 - 1/31/2017," $341,602 "," $126,393 "
413551,1/1/2017 - 1/31/2017," $139,014 "," $51,435 "
417949,1/1/2017 - 1/31/2017, $14 , $5 
423402,1/1/2017 - 1/31/2017," $281,223 "," $104,052 "
415348,1/1/2017 - 1/31/2017," $169,117 "," $62,573 "
422138,1/1/2017 - 1/31/2017," $120,742 "," $44,674 "
414656,1/1/2017 - 1/31/2017," $144,363 "," $53,414 "
414712,1/1/2017 - 1/31/2017," $14,031 "," $5,191 "
414812,1/1/2017 - 1/31/2017," $230,021 "," $85,108 "
76189,1/1/2017 - 1/31/2017," $14,481 "," $5,358 "
423536,1/1/2017 - 1/31/2017," $140,002 "," $51,801 "
413809,1/1/2017 - 1/31/2017," $200,017 "," $74,006 "
79013,1/1/2017 - 1/31/2017," $117,531 "," $43,486 "
420819,1/1/2017 - 1/31/2017," $143,737 "," $53,183 "
415229,1/1/2017 - 1/31/2017," $328,560 "," $121,567 "
415238,1/1/2017 - 1/31/2017," $133,085 "," $49,241 "
422109,1/1/2017 - 1/31/2017," $169,409 "," $62,681 "
414680,1/1/2017 - 1/31/2017," $99,546 "," $36,832 "
413479,1/1/2017 - 1/31/2017," $185,102 "," $68,488 "
423224,1/1/2017 - 1/31/2017," $105,355 "," $38,981 "
421876,1/1/2017 - 1/31/2017," $91,677 "," $33,921 "
414723,1/1/2017 - 1/31/2017," $357,511 "," $132,279 "
414500,1/1/2017 - 1/31/2017," $132,192 "," $48,911 "
404933,1/1/2017 - 1/31/2017," $97,526 "," $36,085 "
414460,1/1/2017 - 1/31/2017," $30,557 "," $11,306 "
415132,1/1/2017 - 1/31/2017," $275,122 "," $101,795 "
413692,1/1/2017 - 1/31/2017," $215,700 "," $79,809 "
414740,1/1/2017 - 1/31/2017," $124,543 "," $46,081 "
413739,1/1/2017 - 1/31/2017," $509,315 "," $188,446 "
417114,1/1/2017 - 1/31/2017," $341,819 "," $126,473 "
421616,1/1/2017 - 1/31/2017," $86,025 "," $31,829 "
414664,1/1/2017 - 1/31/2017," $478,929 "," $177,204 "
412066,1/1/2017 - 1/31/2017," $53,049 "," $19,628 "
353260,1/1/2017 - 1/31/2017," $52,660 "," $19,484 "
414780,1/1/2017 - 1/31/2017," $193,245 "," $71,500 "
414731,1/1/2017 - 1/31/2017," $404,668 "," $149,727 "
413519,1/1/2017 - 1/31/2017," $171,080 "," $63,300 "
413994,1/1/2017 - 1/31/2017," $53,200 "," $19,684 "
422350,1/1/2017 - 1/31/2017," $119,158 "," $44,088 "
414101,1/1/2017 - 1/31/2017," $164,878 "," $61,005 "
413762,1/1/2017 - 1/31/2017," $176,056 "," $65,141 "
86823,1/1/2017 - 1/31/2017," $127,963 "," $47,346 "
414223,1/1/2017 - 1/31/2017, $7 , $3 
422146,1/1/2017 - 1/31/2017," $316,825 "," $117,225 "
421695,1/1/2017 - 1/31/2017," $119,338 "," $44,155 "
413596,1/1/2017 - 1/31/2017," $267,187 "," $98,859 "
413847,1/1/2017 - 1/31/2017," $83,389 "," $30,854 "
423829,1/1/2017 - 1/31/2017," $94,485 "," $34,960 "
415523,1/1/2017 - 1/31/2017," $65,306 "," $24,163 "
413385,1/1/2017 - 1/31/2017," $42,170 "," $15,603 "
422460,1/1/2017 - 1/31/2017," $10,951 "," $4,052 "
422336,1/1/2017 - 1/31/2017," $91,691 "," $33,926 "
414002,1/1/2017 - 1/31/2017," $107,146 "," $39,644 "
415198,1/1/2017 - 1/31/2017," $212,357 "," $78,572 "
420894,1/1/2017 - 1/31/2017," $33,778 "," $12,498 "
421335,1/1/2017 - 1/31/2017," $148,118 "," $54,804 "
421069,1/1/2017 - 1/31/2017," $128,286 "," $47,466 "
415645,1/1/2017 - 1/31/2017," $148,949 "," $55,111 "
413426,1/1/2017 - 1/31/2017," $152,202 "," $56,315 "
413897,1/1/2017 - 1/31/2017," $53,236 "," $19,697 "
423372,1/1/2017 - 1/31/2017," $215,614 "," $79,777 "
413791,1/1/2017 - 1/31/2017," $459,134 "," $169,880 "
400772,1/1/2017 - 1/31/2017," $116,575 "," $43,133 "
413258,1/1/2017 - 1/31/2017," $432,065 "," $159,864 "
413420,1/1/2017 - 1/31/2017," $402,235 "," $148,827 "
422658,1/1/2017 - 1/31/2017, $761 , $282 
415410,1/1/2017 - 1/31/2017," $262,818 "," $97,243 "
413357,1/1/2017 - 1/31/2017," $182,154 "," $67,397 "
412490,1/1/2017 - 1/31/2017," $358,746 "," $132,736 "
412495,1/1/2017 - 1/31/2017," $77,985 "," $28,855 "
414958,1/1/2017 - 1/31/2017," $130,834 "," $48,408 "
420934,1/1/2017 - 1/31/2017," $79,162 "," $29,290 "
413481,1/1/2017 - 1/31/2017," $163,546 "," $60,512 "
413600,1/1/2017 - 1/31/2017," $73,238 "," $27,098 "
415484,1/1/2017 - 1/31/2017," $59,110 "," $21,871 "
423634,1/1/2017 - 1/31/2017," $153,126 "," $56,657 "
71368,1/1/2017 - 1/31/2017," $260,649 "," $96,440 "
413848,1/1/2017 - 1/31/2017," $457,985 "," $169,454 "
84045,1/1/2017 - 1/31/2017," $417,675 "," $154,540 "
412921,1/1/2017 - 1/31/2017," $158,479 "," $58,637 "
413677,1/1/2017 - 1/31/2017," $116,519 "," $43,112 "
420801,1/1/2017 - 1/31/2017," $131,797 "," $48,765 "
76458,1/1/2017 - 1/31/2017," $3,967 "," $1,468 "
420800,1/1/2017 - 1/31/2017," $40,201 "," $14,874 "
414065,1/1/2017 - 1/31/2017," $158,304 "," $58,572 "
415513,1/1/2017 - 1/31/2017," $97,664 "," $36,136 "
415507,1/1/2017 - 1/31/2017," $181,468 "," $67,143 "
415517,1/1/2017 - 1/31/2017," $223,330 "," $82,632 "
414539,1/1/2017 - 1/31/2017," $3,032 "," $1,122 "
415303,1/1/2017 - 1/31/2017," $48,540 "," $17,960 "
414983,1/1/2017 - 1/31/2017," $375,325 "," $138,870 "
413870,1/1/2017 - 1/31/2017," $146,859 "," $54,338 "
414216,1/1/2017 - 1/31/2017," $18,782 "," $6,949 "
415343,1/1/2017 - 1/31/2017," $71,780 "," $26,559 "
413773,1/1/2017 - 1/31/2017," $302,505 "," $111,927 "
414470,1/1/2017 - 1/31/2017, $757 , $280 
412494,1/1/2017 - 1/31/2017," $635,228 "," $235,034 "
414716,1/1/2017 - 1/31/2017," $244,382 "," $90,421 "
413926,1/1/2017 - 1/31/2017," $62,377 "," $23,080 "
414829,1/1/2017 - 1/31/2017," $393,803 "," $145,707 "
415115,1/1/2017 - 1/31/2017," $145,683 "," $53,903 "
415183,1/1/2017 - 1/31/2017," $159,662 "," $59,075 "
400209,1/1/2017 - 1/31/2017," $50,105 "," $18,539 "
417486,1/1/2017 - 1/31/2017," $64,645 "," $23,919 "
414256,1/1/2017 - 1/31/2017," $120,723 "," $44,667 "
417469,1/1/2017 - 1/31/2017," $70,381 "," $26,041 "
413369,1/1/2017 - 1/31/2017," $537,902 "," $199,024 "
414871,1/1/2017 - 1/31/2017," $255,220 "," $94,432 "
421141,1/1/2017 - 1/31/2017," $394,326 "," $145,901 "
414533,1/1/2017 - 1/31/2017," $818,570 "," $302,871 "
421514,1/1/2017 - 1/31/2017," $99,056 "," $36,651 "
415010,1/1/2017 - 1/31/2017," $481,277 "," $178,073 "
415534,1/1/2017 - 1/31/2017," $50,791 "," $18,793 "
415445,1/1/2017 - 1/31/2017," $72,550 "," $26,843 "
415641,1/1/2017 - 1/31/2017," $131,574 "," $48,682 "
414011,1/1/2017 - 1/31/2017," $297,228 "," $109,974 "
415148,1/1/2017 - 1/31/2017," $33,706 "," $12,471 "
414995,1/1/2017 - 1/31/2017," $132,907 "," $49,176 "
414868,1/1/2017 - 1/31/2017," $382,103 "," $141,378 "
412466,1/1/2017 - 1/31/2017," $93,255 "," $34,504 "
423993,1/1/2017 - 1/31/2017," $19,227 "," $7,114 "
417511,1/1/2017 - 1/31/2017," $30,014 "," $11,105 "
414398,1/1/2017 - 1/31/2017," $260,503 "," $96,386 "
414449,1/1/2017 - 1/31/2017," $650,685 "," $240,753 "
414959,1/1/2017 - 1/31/2017," $17,116 "," $6,333 "
415488,1/1/2017 - 1/31/2017," $180,107 "," $66,639 "
RETAILERS PERIOD TOTAL,1/1/2017 - 1/31/2017," $67,745,850 "," $25,065,964 "
414884,2/1/2017 - 2/28/2017," $211,721 "," $78,337 "
423413,2/1/2017 - 2/28/2017," $485,440 "," $179,613 "
415470,2/1/2017 - 2/28/2017," $259,082 "," $95,860 "
413314,2/1/2017 - 2/28/2017," $192,366 "," $71,175 "
423775,2/1/2017 - 2/28/2017," $80,025 "," $29,609 "
84154,2/1/2017 - 2/28/2017," $258,633 "," $95,694 "
423784,2/1/2017 - 2/28/2017," $206,833 "," $76,528 "
415083,2/1/2017 - 2/28/2017," $663,442 "," $245,474 "
415526,2/1/2017 - 2/28/2017," $232,423 "," $85,997 "
414550,2/1/2017 - 2/28/2017," $151,970 "," $56,229 "
414733,2/1/2017 - 2/28/2017," $359,778 "," $133,118 "
413586,2/1/2017 - 2/28/2017," $106,987 "," $39,585 "
413700,2/1/2017 - 2/28/2017," $17,441 "," $6,453 "
421562,2/1/2017 - 2/28/2017," $244,212 "," $90,358 "
421757,2/1/2017 - 2/28/2017," $137,525 "," $50,884 "
421491,2/1/2017 - 2/28/2017," $92,290 "," $34,147 "
413821,2/1/2017 - 2/28/2017," $75,696 "," $28,008 "
414441,2/1/2017 - 2/28/2017," $62,741 "," $23,214 "
414225,2/1/2017 - 2/28/2017," $186,327 "," $68,941 "
415486,2/1/2017 - 2/28/2017," $33,345 "," $12,338 "
422954,2/1/2017 - 2/28/2017," $6,860 "," $2,538 "
410332,2/1/2017 - 2/28/2017," $277,307 "," $102,604 "
421652,2/1/2017 - 2/28/2017," $84,886 "," $31,408 "
421110,2/1/2017 - 2/28/2017," $216,958 "," $80,274 "
422447,2/1/2017 - 2/28/2017," $235,833 "," $87,258 "
413530,2/1/2017 - 2/28/2017," $31,410 "," $11,622 "
414558,2/1/2017 - 2/28/2017," $32,087 "," $11,872 "
420478,2/1/2017 - 2/28/2017," $114,049 "," $42,198 "
415253,2/1/2017 - 2/28/2017," $643,407 "," $238,061 "
421709,2/1/2017 - 2/28/2017," $87,407 "," $32,341 "
422202,2/1/2017 - 2/28/2017," $41,910 "," $15,507 "
