RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
414060,11/1/2014 - 11/30/2014," $67,515 "," $16,879 "
413544,11/1/2014 - 11/30/2014," $76,767 "," $19,192 "
412494,11/1/2014 - 11/30/2014," $15,761 "," $3,940 "
417511,11/1/2014 - 11/30/2014," $30,910 "," $7,728 "
414817,11/1/2014 - 11/30/2014," $73,224 "," $18,306 "
415410,11/1/2014 - 11/30/2014," $22,994 "," $5,749 "
414243,11/1/2014 - 11/30/2014," $9,206 "," $2,302 "
413980,11/1/2014 - 11/30/2014," $117,968 "," $29,492 "
414970,11/1/2014 - 11/30/2014," $54,922 "," $13,730 "
413366,11/1/2014 - 11/30/2014," $29,646 "," $7,412 "
413819,11/1/2014 - 11/30/2014," $257,288 "," $64,322 "
415083,11/1/2014 - 11/30/2014," $73,138 "," $18,284 "
414889,11/1/2014 - 11/30/2014," $99,189 "," $24,797 "
413530,11/1/2014 - 11/30/2014," $8,828 "," $2,207 "
413347,11/1/2014 - 11/30/2014," $236,900 "," $59,225 "
415112,11/1/2014 - 11/30/2014," $144,646 "," $36,162 "
414295,11/1/2014 - 11/30/2014," $114,960 "," $28,740 "
413940,11/1/2014 - 11/30/2014," $28,437 "," $7,109 "
353260,11/1/2014 - 11/30/2014," $90,240 "," $22,560 "
413372,11/1/2014 - 11/30/2014," $330,324 "," $82,581 "
415662,11/1/2014 - 11/30/2014," $71,779 "," $17,945 "
414418,11/1/2014 - 11/30/2014," $14,458 "," $3,614 "
415229,11/1/2014 - 11/30/2014," $137,966 "," $34,492 "
414574,11/1/2014 - 11/30/2014," $61,786 "," $15,447 "
413414,11/1/2014 - 11/30/2014," $70,149 "," $17,537 "
413732,11/1/2014 - 11/30/2014," $831,488 "," $207,872 "
415130,11/1/2014 - 11/30/2014," $146,885 "," $36,721 "
414876,11/1/2014 - 11/30/2014," $207,575 "," $51,894 "
413843,11/1/2014 - 11/30/2014," $104,826 "," $26,206 "
413801,11/1/2014 - 11/30/2014," $29,011 "," $7,253 "
400209,11/1/2014 - 11/30/2014," $12,148 "," $3,037 "
414417,11/1/2014 - 11/30/2014," $479,598 "," $119,899 "
415526,11/1/2014 - 11/30/2014," $27,267 "," $6,817 "
415470,11/1/2014 - 11/30/2014," $110,157 "," $27,539 "
413762,11/1/2014 - 11/30/2014," $41,272 "," $10,318 "
412466,11/1/2014 - 11/30/2014," $48,909 "," $12,227 "
415325,11/1/2014 - 11/30/2014," $18,866 "," $4,717 "
413700,11/1/2014 - 11/30/2014," $18,863 "," $4,716 "
413374,11/1/2014 - 11/30/2014," $16,516 "," $4,129 "
415575,11/1/2014 - 11/30/2014," $66,267 "," $16,567 "
412495,11/1/2014 - 11/30/2014," $39,872 "," $9,968 "
414430,11/1/2014 - 11/30/2014," $72,055 "," $18,014 "
412370,11/1/2014 - 11/30/2014," $81,710 "," $20,428 "
413886,11/1/2014 - 11/30/2014," $83,957 "," $20,989 "
413358,11/1/2014 - 11/30/2014," $230,423 "," $57,606 "
413739,11/1/2014 - 11/30/2014," $223,430 "," $55,857 "
414664,11/1/2014 - 11/30/2014," $159,846 "," $39,962 "
413596,11/1/2014 - 11/30/2014," $85,047 "," $21,262 "
413683,11/1/2014 - 11/30/2014," $587,302 "," $146,825 "
414256,11/1/2014 - 11/30/2014," $84,487 "," $21,122 "
414225,11/1/2014 - 11/30/2014," $208,680 "," $52,170 "
414292,11/1/2014 - 11/30/2014," $3,848 ", $962 
414983,11/1/2014 - 11/30/2014," $106,287 "," $26,572 "
415361,11/1/2014 - 11/30/2014," $5,528 "," $1,382 "
410798,11/1/2014 - 11/30/2014," $128,941 "," $32,235 "
413314,11/1/2014 - 11/30/2014," $54,904 "," $13,726 "
414520,11/1/2014 - 11/30/2014," $65,070 "," $16,267 "
413319,11/1/2014 - 11/30/2014," $632,164 "," $158,041 "
412921,11/1/2014 - 11/30/2014," $27,349 "," $6,837 "
413558,11/1/2014 - 11/30/2014," $79,807 "," $19,952 "
413481,11/1/2014 - 11/30/2014," $94,993 "," $23,748 "
415243,11/1/2014 - 11/30/2014," $13,355 "," $3,339 "
RETAILERS PERIOD TOTAL,11/1/2014 - 11/30/2014," $9,091,369 "," $2,272,842 "
414533,12/1/2014 - 12/31/2014," $701,188 "," $175,297 "
414550,12/1/2014 - 12/31/2014," $12,069 "," $3,017 "
414680,12/1/2014 - 12/31/2014," $20,998 "," $5,249 "
414755,12/1/2014 - 12/31/2014," $38,114 "," $9,529 "
