year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JDP_TOTALADP,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
2016,BENTON,16053,8049,25922,44930,94953,16781,8586,26794,43386,95547,0,0,0,0,0,0,0,0,0,45,1850,0,702,1687,877,6,129,187,1,2,34,1,3,15,26,7162,13,2623,54,1085,4539,10870,531,168,0,0,0,0,0,0,0,0,0,0,0,3,845,0,88,162,310,3,25,30,0,1543,0,17,0,2,15,3,3,23,930,4368,314,52,548.9,0,0,0,0,0,0,0,0,0,0,0,0,0,183,41,74,183,1,0,19,226,0,0,0,6,5,0,9,235,1016,12,22,0,19,6,4,25,190500
2010,CHELAN,6019,3080,9316,18320,36734,6166,3362,9693,17343,36566,68,3,325,2,103,34,14,1626,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,52,255,2,11,1603,14,6,201,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.0,0,5,0,7,31,0,9,203,5,1,86,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,11,73300
2011,CHELAN,5664,3069,9090,18609,36434,6084,3090,9535,17557,36266,80,4,386,5,108,13,25,1488,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,38,194,2,5,1427,3,9,212,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,8,0,7,50,2,5,164,0,0,73,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,72700
2012,CHELAN,5675,2960,9178,18899,36712,6072,3043,9615,17758,36488,0,0,0,0,0,0,0,0,0,0,269,0,179,201,104,0,10,10,0,0,3,0,1,1,0,872,0,355,6,122,476,1349,71,18,41,0,36,135,1,7,946,4,8,222,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0,0,1,0,3,20,0,6,103,0,1,65,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,1,15,73200
2013,CHELAN,5648,2917,9238,19074,36877,6102,3035,9638,17947,36723,0,0,0,0,0,0,0,0,0,9,625,0,297,415,276,1,75,46,0,0,1,0,1,4,2,2408,1,894,14,336,1597,3638,217,57,0,0,0,0,0,0,0,0,0,0,0,2,431,0,36,114,167,0,13,11,0,705,0,2,0,0,1,1,0,9,419,2068,135,22,221.0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,7,12,41,0,1,5,39,1,0,0,0,0,0,1,101,260,1,8,0,9,2,1,11,73600
2014,CHELAN,5649,2910,9235,19459,37253,6133,3029,9618,18267,37047,0,0,0,0,0,0,0,0,0,5,557,1,350,244,368,2,43,46,0,0,5,0,0,4,2,2014,1,800,16,419,1353,3233,188,48,0,0,0,0,0,0,0,0,0,0,0,4,399,1,52,73,202,1,11,5,0,619,0,8,0,1,0,0,0,8,381,1902,115,22,265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,17,35,0,0,3,50,0,0,0,0,0,0,1,82,235,0,5,0,9,0,0,9,74300
2015,CHELAN,5658,2908,9206,19825,37597,6149,3048,9563,18673,37433,0,0,0,0,0,0,0,0,0,6,638,1,372,291,389,1,60,42,0,0,1,0,0,3,1,2289,0,889,8,438,1550,3616,205,48,0,0,0,0,0,0,0,0,0,0,0,2,464,0,50,87,191,0,12,12,0,696,0,2,0,0,2,0,0,3,371,2054,145,17,281.0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,20,26,43,0,0,3,50,0,0,0,0,0,0,0,89,276,0,0,0,9,3,0,12,75030
2016,CHELAN,5686,2918,9141,20280,38025,6208,3087,9463,19127,37885,0,0,0,0,0,0,0,0,0,7,645,0,364,267,426,1,39,39,0,1,19,1,0,8,4,2338,9,913,15,505,1645,3756,200,66,0,0,0,0,0,0,0,0,0,0,0,2,430,0,63,66,238,0,6,15,0,728,0,17,0,0,0,0,9,8,326,2061,132,21,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,11,41,0,0,3,41,0,1,0,1,0,0,3,62,235,0,5,0,12,3,2,15,75910
2010,CLALLAM,4154,2462,6728,22014,35358,4372,2629,7541,20199,34742,135,10,482,1,81,28,28,1524,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,38,158,0,2,657,1,4,149,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0,0,0,1,10,21,0,0,136,1,0,36,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,12,70100
2011,CLALLAM,3949,2208,7138,22776,36071,4255,2392,8291,20592,35529,134,12,507,2,117,30,22,1579,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,40,161,2,4,1105,5,7,253,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,0,7,4,11,42,2,3,197,1,0,67,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,6,71600
